
RTmethod[PolRT=-0.00, RevsRT=300, WVASE=3.412, HardVer=17.011, Wed Jul 19 12:57:18 2023]
Original[spect_nano25s.dat]
nm
pT	255.408472	0.000000	0.0451538	0.00545154
pT	256.996704	0.000000	0.036195	0.00536195
pT	258.585059	0.000000	0.0114763	0.00511476
pT	260.173560	0.000000	0.0168212	0.00516821
pT	261.762183	0.000000	0.0259482	0.00525948
pT	263.350903	0.000000	0.0281521	0.00528152
pT	264.939771	0.000000	0.022599	0.00522599
pT	266.528735	0.000000	0.0291725	0.00529173
pT	268.117822	0.000000	0.042064	0.00542064
pT	269.707007	0.000000	0.0190936	0.00519094
pT	271.296313	0.000000	0.0187539	0.00518754
pT	272.885693	0.000000	0.0183623	0.00518362
pT	274.475195	0.000000	0.0139424	0.00513942
pT	276.064795	0.000000	0.0184654	0.00518465
pT	277.654468	0.000000	0.0183164	0.00518316
pT	279.244263	0.000000	0.00906963	0.0050907
pT	280.834106	0.000000	0.0117909	0.00511791
pT	282.424072	0.000000	0.0103035	0.00510303
pT	284.014087	0.000000	0.0140147	0.00514015
pT	285.604199	0.000000	0.0134771	0.00513477
pT	287.194385	0.000000	0.0167248	0.00516725
pT	288.784644	0.000000	0.00588007	0.0050588
pT	290.374976	0.000000	0.00908738	0.00509087
pT	291.965356	0.000000	0.0105351	0.00510535
pT	293.555835	0.000000	0.0109003	0.005109
pT	295.146362	0.000000	0.00836188	0.00508362
pT	296.736938	0.000000	0.00702537	0.00507025
pT	298.327588	0.000000	0.00951045	0.0050951
pT	299.918286	0.000000	0.0118101	0.0051181
pT	301.509033	0.000000	0.0163669	0.00516367
pT	303.099854	0.000000	0.0285767	0.00528577
pT	304.690698	0.000000	0.0382756	0.00538276
pT	306.281592	0.000000	0.052938	0.00552938
pT	307.872559	0.000000	0.0701912	0.00570191
pT	309.463525	0.000000	0.0854602	0.0058546
pT	311.054565	0.000000	0.119576	0.00619576
pT	312.645630	0.000000	0.150788	0.00650788
pT	314.236743	0.000000	0.188846	0.00688846
pT	315.827881	0.000000	0.224883	0.00724883
pT	317.419067	0.000000	0.279066	0.00779066
pT	319.010278	0.000000	0.335563	0.00835563
pT	320.601514	0.000000	0.371149	0.00871149
pT	322.192773	0.000000	0.412963	0.00912963
pT	323.784058	0.000000	0.453038	0.00953038
pT	325.375366	0.000000	0.484815	0.00984814
pT	326.966724	0.000000	0.524146	0.0102415
pT	328.558081	0.000000	0.566117	0.0106612
pT	330.149463	0.000000	0.593819	0.0109382
pT	331.740845	0.000000	0.620682	0.0112068
