300 0.89831 1.12951 0.172511 1.06586 0.0809258
300.7 0.898467 1.12519 0.170526 1.06377 0.0801513
301.4 0.898614 1.12056 0.168448 1.06153 0.0793417
302.1 0.898756 1.11561 0.166253 1.05914 0.0784854
302.8 0.898899 1.11039 0.163918 1.0566 0.0775686
303.5 0.899048 1.10493 0.16142 1.05394 0.0765793
304.2 0.89921 1.09926 0.158741 1.05117 0.0755069
304.9 0.899388 1.09343 0.155869 1.04831 0.074343
305.6 0.899587 1.08746 0.152795 1.04537 0.0730817
306.3 0.899809 1.08141 0.149519 1.04238 0.0717199
307 0.900056 1.07532 0.146045 1.03935 0.0702577
307.7 0.900329 1.06923 0.142388 1.03632 0.0686989
308.4 0.900627 1.06318 0.138566 1.03329 0.0670511
309.1 0.900948 1.05722 0.134609 1.03028 0.065326
309.8 0.901288 1.05138 0.130553 1.02733 0.0635396
310.5 0.901643 1.0457 0.126442 1.02445 0.0617118
311.2 0.902006 1.0402 0.122327 1.02166 0.0598666
311.9 0.902365 1.03489 0.118256 1.01895 0.0580286
312.6 0.902711 1.02969 0.114272 1.01629 0.0562198
313.3 0.903029 1.02457 0.11041 1.01367 0.0544602
314 0.903311 1.01946 0.106702 1.01106 0.0527673
314.7 0.903543 1.0143 0.103175 1.00842 0.0511567
315.4 0.903715 1.00901 0.0998522 1.00572 0.049642
316.1 0.903816 1.00354 0.0967529 1.00293 0.0482352
316.8 0.903833 0.997789 0.0938939 0.999997 0.0469471
317.5 0.903755 0.991684 0.0912902 0.996885 0.0457877
318.2 0.903566 0.985129 0.0889554 0.993546 0.0447666
318.9 0.903251 0.978022 0.0869032 0.989924 0.0438939
319.6 0.902791 0.970249 0.0851479 0.985958 0.0431803
320.3 0.902162 0.96168 0.0837059 0.981579 0.0426384
321 0.901341 0.952183 0.0825914 0.976714 0.0422802
321.7 0.900311 0.941701 0.0817956 0.971326 0.0421051
322.4 0.89906 0.930203 0.0813065 0.965389 0.0421107
323.1 0.89757 0.917659 0.0811183 0.958879 0.0422985
323.8 0.89582 0.904042 0.0812313 0.951769 0.0426739
324.5 0.893786 0.889329 0.0816518 0.944033 0.0432463
325.2 0.89144 0.873504 0.0823923 0.935651 0.0440294
325.9 0.88875 0.856562 0.0834714 0.926602 0.0450417
326.6 0.88568 0.838518 0.0849143 0.916876 0.0463063
327.3 0.882195 0.819405 0.0867524 0.906474 0.0478516
328 0.878258 0.799288 0.0890233 0.89541 0.0497109
328.7 0.873837 0.778268 0.0917702 0.883722 0.0519226
329.4 0.868904 0.756494 0.0950397 0.871474 0.0545281
330.1 0.86345 0.734173 0.0988798 0.858771 0.0575705
330.8 0.857483 0.711575 0.103335 0.845758 0.0610903
331.5 0.851049 0.689047 0.108441 0.832639 0.0651191
332.2 0.844216 0.666947 0.114224 0.819635 0.0696795
332.9 0.83701 0.645392 0.120716 0.806838 0.0748079
333.6 0.82944 0.62441 0.127949 0.79429 0.0805428
334.3 0.821512 0.604002 0.135944 0.782021 0.0869185
335 0.813229 0.584139 0.144716 0.770045 0.0939663
335.7 0.804585 0.564758 0.154275 0.758356 0.101717
336.4 0.795561 0.545763 0.16463 0.746933 0.110204
337.1 0.786123 0.527023 0.175792 0.735728 0.119468
337.8 0.776213 0.508368 0.187782 0.724675 0.129563
338.5 0.765747 0.489588 0.200634 0.713685 0.140562
339.2 0.754612 0.470435 0.214401 0.702647 0.152567
339.9 0.742653 0.450613 0.229166 0.69143 0.165719
340.6 0.729674 0.429773 0.245044 0.679889 0.180209
341.3 0.715429 0.407511 0.262198 0.667865 0.196296
342 0.699614 0.383348 0.280848 0.655197 0.214324
342.7 0.681865 0.35672 0.30129 0.641737 0.234746
343.4 0.66188 0.32714 0.323885 0.627491 0.258079
344.1 0.639586 0.29437 0.349025 0.612763 0.284796
344.8 0.615065 0.25818 0.377171 0.598019 0.315351
345.5 0.588598 0.218319 0.408875 0.583879 0.350137
346.2 0.5607 0.174516 0.444802 0.571108 0.38942
346.9 0.532097 0.126495 0.485756 0.560558 0.433279
347.6 0.503643 0.0739791 0.532722 0.553088 0.481588
348.3 0.476183 0.0167224 0.586902 0.549483 0.53405
