# Z_nm	Fit_totale_conteggi	LogN1_conteggi	LogN2_conteggi
0.026521	0.000000	0.000000	0.000000
0.043871	0.000000	0.000000	0.000000
0.061221	0.000000	0.000000	0.000000
0.078572	0.000000	0.000000	0.000000
0.095922	0.000000	0.000000	0.000000
0.113272	0.000001	0.000000	0.000001
0.130622	0.000006	0.000000	0.000006
0.147973	0.000023	0.000000	0.000023
0.165323	0.000076	0.000000	0.000076
0.182673	0.000219	0.000000	0.000219
0.200024	0.000555	0.000000	0.000555
0.217374	0.001264	0.000000	0.001264
0.234724	0.002648	0.000000	0.002648
0.252074	0.005162	0.000000	0.005162
0.269425	0.009470	0.000000	0.009470
0.286775	0.016489	0.000000	0.016489
0.304125	0.027440	0.000000	0.027440
0.321475	0.043893	0.000000	0.043893
0.338826	0.067810	0.000000	0.067810
0.356176	0.101578	0.000000	0.101578
0.373526	0.148037	0.000000	0.148037
0.390877	0.210499	0.000000	0.210499
0.408227	0.292756	0.000000	0.292756
0.425577	0.399080	0.000000	0.399080
0.442927	0.534215	0.000000	0.534215
0.460278	0.703358	0.000000	0.703358
0.477628	0.912132	0.000000	0.912132
0.494978	1.166557	0.000000	1.166557
0.512328	1.473006	0.000000	1.473006
0.529679	1.838164	0.000000	1.838164
0.547029	2.268980	0.000000	2.268980
0.564379	2.772613	0.000000	2.772613
0.581730	3.356386	0.000000	3.356386
0.599080	4.027723	0.000000	4.027723
0.616430	4.794104	0.000000	4.794104
0.633780	5.663005	0.000000	5.663005
0.651131	6.641849	0.000000	6.641849
0.668481	7.737955	0.000000	7.737955
0.685831	8.958492	0.000000	8.958492
0.703182	10.310430	0.000000	10.310430
0.720532	11.800504	0.000000	11.800504
0.737882	13.435170	0.000000	13.435170
0.755232	15.220574	0.000000	15.220574
0.772583	17.162518	0.000000	17.162518
0.789933	19.266435	0.000001	19.266434
0.807283	21.537362	0.000001	21.537361
0.824633	23.979924	0.000001	23.979922
0.841984	26.598312	0.000002	26.598310
0.859334	29.396276	0.000004	29.396273
0.876684	32.377108	0.000005	32.377103
0.894035	35.543642	0.000008	35.543634
0.911385	38.898245	0.000013	38.898232
0.928735	42.442818	0.000019	42.442799
0.946085	46.178800	0.000028	46.178771
0.963436	50.107165	0.000041	50.107124
0.980786	54.228438	0.000060	54.228378
