DIAGNOSTICA FIT (2 LOGNORMALI, curve_fit con pesi Poisson)

chi2     = 320.4011787411
ndof     = 69
chi2_red = 4.6434953441

PARAMETRI (ordine):
N, w, muL1, sigL1, muL2, sigL2

COVARIANZA (pcov):
	N	w	muL1	sigL1	muL2	sigL2
N	6.5280391541e+04	-1.1073814643e-02	-1.8906823684e-03	-2.5239102129e-03	2.3194553850e-02	8.6564896097e-03
w	-1.1073814643e-02	9.7766671903e-05	-9.6988923567e-06	1.7610652240e-05	-8.6126930626e-05	2.9956886611e-05
muL1	-1.8906823684e-03	-9.6988923567e-06	4.6003066260e-06	-1.7767261714e-06	2.1729615832e-06	-6.9466959627e-06
sigL1	-2.5239102129e-03	1.7610652240e-05	-1.7767261714e-06	4.7887375530e-06	-1.5859853095e-05	4.3466067690e-06
muL2	2.3194553850e-02	-8.6126930626e-05	2.1729615832e-06	-1.5859853095e-05	1.1932552167e-04	-1.3710478185e-05
sigL2	8.6564896097e-03	2.9956886611e-05	-6.9466959627e-06	4.3466067690e-06	-1.3710478185e-05	2.9606423599e-05

CORRELAZIONE:
	N	w	muL1	sigL1	muL2	sigL2
N	1.000000	-0.004383	-0.003450	-0.004514	0.008311	0.006227
w	-0.004383	1.000000	-0.457334	0.813897	-0.797401	0.556812
muL1	-0.003450	-0.457334	1.000000	-0.378544	0.092745	-0.595240
sigL1	-0.004514	0.813897	-0.378544	1.000000	-0.663471	0.365045
muL2	0.008311	-0.797401	0.092745	-0.663471	1.000000	-0.230671
sigL2	0.006227	0.556812	-0.595240	0.365045	-0.230671	1.000000
