FIT CON SOMMA DI DUE GAUSSIANE

Parametri (ordine):
N, w, mu1, sigma1, mu2, sigma2

MATRICE DI COVARIANZA:
	N	w	mu1	sigma1	mu2	sigma2
N	6.5036209717e+04	-1.4289047464e-01	-4.6067668319e-02	-9.2535240518e-02	-1.2023474332e+00	3.5192497955e-01
w	-1.4289047464e-01	7.6218755204e-04	3.3051180757e-04	5.3502324844e-04	6.0994913067e-03	-1.5706760341e-03
mu1	-4.6067668319e-02	3.3051180757e-04	3.0094416741e-04	2.6109921618e-04	2.3703574069e-03	-4.1436162166e-04
sigma1	-9.2535240518e-02	5.3502324844e-04	2.6109921618e-04	4.2581846482e-04	4.2200224513e-03	-1.0605265381e-03
mu2	-1.2023474332e+00	6.0994913067e-03	2.3703574069e-03	4.2200224513e-03	5.0174149214e-02	-1.3354301282e-02
sigma2	3.5192497955e-01	-1.5706760341e-03	-4.1436162166e-04	-1.0605265381e-03	-1.3354301282e-02	4.2105573010e-03

MATRICE DI CORRELAZIONE:
	N	w	mu1	sigma1	mu2	sigma2
N	1.000000	-0.020295	-0.010413	-0.017584	-0.021048	0.021267
w	-0.020295	1.000000	0.690102	0.939138	0.986331	-0.876770
mu1	-0.010413	0.690102	1.000000	0.729374	0.610001	-0.368101
sigma1	-0.017584	0.939138	0.729374	1.000000	0.912983	-0.792026
mu2	-0.021048	0.986331	0.610001	0.912983	1.000000	-0.918780
sigma2	0.021267	-0.876770	-0.368101	-0.792026	-0.918780	1.000000
