time_s,n_scans,sources,coverage_fraction,coverage_fraction_std,equivalent_thickness_nm,equivalent_thickness_nm_std,mean_equivalent_radius_nm,mean_equivalent_radius_nm_std,std_equivalent_radius_nm,std_equivalent_radius_nm_std,number_density_per_um2,number_density_per_um2_std,derived_reff_nm,derived_reff_nm_std,island_count,island_count_std,mean_island_height_nm,mean_island_height_nm_std
10,1,001,0.3579254150390625,0.0,1.9334792096609212,0.0,44.36653336305574,0.0,21.34663351732417,0.0,47.0,0.0,49.23482553211787,0.0,188.0,0.0,5.032707706241094,0.0
20,1,001,0.3495635986328125,0.0,1.1721261148878221,0.0,43.50876554976108,0.0,23.79039480256771,0.0,45.25,0.0,49.58826034986625,0.0,181.0,0.0,3.143142697437482,0.0
30,1,001,0.340087890625,0.0,1.059820863713843,0.0,39.11868832669561,0.0,18.55383773566624,0.0,57.75,0.0,43.295688828364696,0.0,231.0,0.0,2.894043440801542,0.0
40,1,001,0.3527374267578125,0.0,1.6700708672177518,0.0,44.641192073870215,0.0,35.1886010521763,0.0,34.75,0.0,56.842534019740846,0.0,139.0,0.0,3.3825531161639666,0.0
50,1,001,0.357879638671875,0.0,2.2409522620755484,0.0,48.739785961087705,0.0,39.83403980498708,0.0,28.75,0.0,62.9469416470565,0.0,115.0,0.0,4.0188275706068834,0.0
60,1,001,0.397705078125,0.0,2.584780296047261,0.0,55.81255967594221,0.0,45.29942722616644,0.0,24.5,0.0,71.88240344200632,0.0,98.0,0.0,4.344640838581213,0.0
