DIAGNOSTICA FIT (2 LOGNORMALI, curve_fit con pesi Poisson)

chi2     = 1575.8657079074
ndof     = 129
chi2_red = 12.2160132396

PARAMETRI (ordine):
N, w, muL1, sigL1, muL2, sigL2

COVARIANZA (pcov):
	N	w	muL1	sigL1	muL2	sigL2
N	6.4130920718e+04	7.8694356450e-03	9.0310029137e-05	1.1377153358e-03	4.6220036324e-03	7.5925600026e-03
w	7.8694356450e-03	2.3245459719e-05	4.8951823867e-07	2.9607877984e-06	2.4995859675e-06	6.4409110282e-06
muL1	9.0310029137e-05	4.8951823867e-07	8.1534266795e-07	6.4337522045e-08	-4.6640032915e-07	2.7962856545e-07
sigL1	1.1377153358e-03	2.9607877984e-06	6.4337522045e-08	9.3373945239e-07	3.6386187663e-07	8.8591365480e-07
muL2	4.6220036324e-03	2.4995859675e-06	-4.6640032915e-07	3.6386187663e-07	6.9290069208e-06	5.4839359037e-07
sigL2	7.5925600026e-03	6.4409110282e-06	2.7962856545e-07	8.8591365480e-07	5.4839359037e-07	5.1218064953e-06

CORRELAZIONE:
	N	w	muL1	sigL1	muL2	sigL2
N	1.000000	0.006445	0.000395	0.004649	0.006934	0.013248
w	0.006445	1.000000	0.112442	0.635514	0.196953	0.590292
muL1	0.000395	0.112442	1.000000	0.073736	-0.196225	0.136836
sigL1	0.004649	0.635514	0.073736	1.000000	0.143050	0.405104
muL2	0.006934	0.196953	-0.196225	0.143050	1.000000	0.092055
sigL2	0.013248	0.590292	0.136836	0.405104	0.092055	1.000000
