# Z_nm	Fit_totale_conteggi	Gauss1_conteggi	Gauss2_conteggi
0.000000	6.388926	0.000009	6.388918
0.035590	6.482131	0.000010	6.482121
0.071180	6.576511	0.000011	6.576500
0.106770	6.672076	0.000012	6.672064
0.142360	6.768839	0.000014	6.768825
0.177950	6.866812	0.000016	6.866797
0.213539	6.966007	0.000017	6.965989
0.249129	7.066435	0.000020	7.066416
0.284719	7.168109	0.000022	7.168087
0.320309	7.271041	0.000025	7.271017
0.355899	7.375244	0.000027	7.375216
0.391489	7.480729	0.000031	7.480698
0.427079	7.587509	0.000034	7.587474
0.462669	7.695596	0.000038	7.695557
0.498259	7.805003	0.000043	7.804960
0.533849	7.915743	0.000048	7.915695
0.569439	8.027828	0.000054	8.027774
0.605028	8.141270	0.000060	8.141210
0.640618	8.256084	0.000067	8.256017
0.676208	8.372281	0.000075	8.372206
0.711798	8.489874	0.000083	8.489791
0.747388	8.608877	0.000093	8.608784
0.782978	8.729303	0.000103	8.729199
0.818568	8.851164	0.000115	8.851049
0.854158	8.974475	0.000128	8.974346
0.889748	9.099247	0.000143	9.099104
0.925338	9.225496	0.000159	9.225337
0.960928	9.353233	0.000177	9.353056
0.996517	9.482474	0.000197	9.482276
1.032107	9.613230	0.000219	9.613011
1.067697	9.745516	0.000244	9.745273
1.103287	9.879346	0.000271	9.879075
1.138877	10.014734	0.000301	10.014433
1.174467	10.151693	0.000334	10.151358
1.210057	10.290237	0.000371	10.289866
1.245647	10.430381	0.000412	10.429969
1.281237	10.572138	0.000457	10.571681
1.316827	10.715524	0.000507	10.715017
1.352417	10.860552	0.000562	10.859990
1.388006	11.007236	0.000623	11.006613
1.423596	11.155592	0.000690	11.154901
1.459186	11.305633	0.000765	11.304869
1.494776	11.457376	0.000847	11.456529
1.530366	11.610833	0.000937	11.609896
1.565956	11.766022	0.001037	11.764985
1.601546	11.922956	0.001147	11.921808
1.637136	12.081650	0.001268	12.080382
1.672726	12.242121	0.001402	12.240719
1.708316	12.404384	0.001549	12.402835
1.743906	12.568454	0.001711	12.566743
1.779495	12.734347	0.001890	12.732457
1.815085	12.902080	0.002086	12.899994
1.850675	13.071667	0.002302	13.069366
1.886265	13.243127	0.002539	13.240588
1.921855	13.416475	0.002800	13.413675
1.957445	13.591728	0.003087	13.588641
1.993035	13.768902	0.003402	13.765501
2.028625	13.948017	0.003747	13.944269
2.064215	14.129088	0.004127	14.124961
2.099805	14.312133	0.004543	14.307590
2.135394	14.497172	0.004999	14.492172
2.170984	14.684221	0.005500	14.678721
2.206574	14.873301	0.006048	14.867252
2.242164	15.064429	0.006649	15.057780
2.277754	15.257626	0.007308	15.250319
2.313344	15.452912	0.008028	15.444884
2.348934	15.650307	0.008817	15.641490
2.384524	15.849832	0.009680	15.840152
2.420114	16.051508	0.010623	16.040885
2.455704	16.255358	0.011655	16.243703
2.491294	16.461404	0.012783	16.448621
2.526883	16.669669	0.014014	16.655655
2.562473	16.880178	0.015360	16.864818
2.598063	17.092955	0.016828	17.076127
2.633653	17.308026	0.018431	17.289595
2.669243	17.525418	0.020180	17.505239
2.704833	17.745158	0.022087	17.723071
2.740423	17.967274	0.024165	17.943108
2.776013	18.191796	0.026431	18.165365
2.811603	18.418754	0.028899	18.389856
2.847193	18.648182	0.031587	18.616595
2.882783	18.880112	0.034513	18.845599
2.918372	19.114578	0.037697	19.076881
2.953962	19.351618	0.041160	19.310458
2.989552	19.591269	0.044927	19.546342
3.025142	19.833572	0.049022	19.784550
3.060732	20.078567	0.053471	20.025096
3.096322	20.326299	0.058305	20.267994
3.131912	20.576814	0.063554	20.513260
3.167502	20.830161	0.069252	20.760909
3.203092	21.086389	0.075435	21.010954
3.238682	21.345553	0.082142	21.263411
3.274272	21.607709	0.089414	21.518295
3.309861	21.872917	0.097298	21.775619
3.345451	22.141239	0.105840	22.035399
3.381041	22.412742	0.115093	22.297649
3.416631	22.687496	0.125113	22.562383
3.452221	22.965575	0.135958	22.829617
3.487811	23.247056	0.147693	23.099363
3.523401	23.532024	0.160386	23.371638
3.558991	23.820566	0.174111	23.646455
3.594581	24.112774	0.188945	23.923829
3.630171	24.408747	0.204974	24.203773
3.665761	24.708588	0.222286	24.486302
3.701350	25.012409	0.240979	24.771430
3.736940	25.320326	0.261154	25.059172
3.772530	25.632462	0.282922	25.349541
3.808120	25.948950	0.306399	25.642550
3.843710	26.269927	0.331712	25.938215
3.879300	26.595542	0.358994	26.236549
3.914890	26.925951	0.388386	26.537565
3.950480	27.261320	0.420042	26.841278
3.986070	27.601824	0.454123	27.147700
