# Z_nm	Fit_totale_conteggi	LogN1_conteggi	LogN2_conteggi
21.927978	179.757099	0.021082	179.736017
21.963019	178.566626	0.019785	178.546841
21.998060	177.383123	0.018566	177.364556
22.033101	176.206558	0.017422	176.189137
22.068142	175.036904	0.016346	175.020557
22.103183	173.874129	0.015337	173.858793
22.138224	172.718205	0.014388	172.703817
22.173265	171.569103	0.013497	171.555606
22.208306	170.426793	0.012661	170.414132
22.243347	169.291246	0.011876	169.279371
22.278388	168.162434	0.011139	168.151295
22.313430	167.040327	0.010446	167.029880
22.348471	165.924896	0.009797	165.915099
22.383512	164.816112	0.009187	164.806925
22.418553	163.713947	0.008614	163.705333
22.453594	162.618372	0.008077	162.610295
22.488635	161.529358	0.007573	161.521786
22.523676	160.446877	0.007099	160.439777
22.558717	159.370899	0.006655	159.364244
22.593758	158.301397	0.006239	158.295158
22.628799	157.238341	0.005848	157.232493
22.663840	156.181703	0.005481	156.176222
22.698882	155.131454	0.005137	155.126317
22.733923	154.087567	0.004814	154.082752
22.768964	153.050011	0.004512	153.045500
22.804005	152.018760	0.004228	152.014532
22.839046	150.993784	0.003961	150.989823
22.874087	149.975056	0.003712	149.971344
22.909128	148.962546	0.003478	148.959068
22.944169	147.956226	0.003258	147.952968
22.979210	146.956068	0.003052	146.953015
23.014251	145.962043	0.002859	145.959184
23.049292	144.974123	0.002678	144.971445
23.084333	143.992280	0.002508	143.989772
23.119375	143.016486	0.002349	143.014136
23.154416	142.046711	0.002200	142.044511
23.189457	141.082928	0.002061	141.080868
23.224498	140.125109	0.001930	140.123179
23.259539	139.173225	0.001807	139.171418
23.294580	138.227248	0.001692	138.225556
23.329621	137.287150	0.001584	137.285566
23.364662	136.352903	0.001483	136.351419
23.399703	135.424477	0.001389	135.423089
23.434744	134.501847	0.001300	134.500547
23.469785	133.584982	0.001217	133.583765
23.504826	132.673855	0.001139	132.672716
23.539868	131.768439	0.001066	131.767372
23.574909	130.868704	0.000998	130.867706
23.609950	129.974623	0.000934	129.973689
23.644991	129.086169	0.000874	129.085294
23.680032	128.203312	0.000818	128.202494
23.715073	127.326025	0.000766	127.325260
23.750114	126.454281	0.000716	126.453564
23.785155	125.588051	0.000670	125.587380
23.820196	124.727307	0.000627	124.726680
23.855237	123.872023	0.000587	123.871436
23.890278	123.022169	0.000549	123.021620
23.925319	122.177719	0.000514	122.177205
23.960361	121.338644	0.000481	121.338164
23.995402	120.504918	0.000450	120.504468
24.030443	119.676512	0.000421	119.676091
24.065484	118.853399	0.000393	118.853005
24.100525	118.035551	0.000368	118.035183
24.135566	117.222942	0.000344	117.222598
24.170607	116.415544	0.000322	116.415222
24.205648	115.613329	0.000301	115.613028
24.240689	114.816270	0.000281	114.815988
24.275730	114.024340	0.000263	114.024077
24.310771	113.237512	0.000246	113.237266
24.345813	112.455758	0.000230	112.455528
24.380854	111.679053	0.000215	111.678837
24.415895	110.907368	0.000201	110.907166
24.450936	110.140676	0.000188	110.140488
24.485977	109.378952	0.000176	109.378776
24.521018	108.622168	0.000164	108.622003
24.556059	107.870297	0.000154	107.870143
24.591100	107.123312	0.000144	107.123169
24.626141	106.381188	0.000134	106.381054
24.661182	105.643897	0.000126	105.643772
24.696223	104.911414	0.000117	104.911297
