FIT CON SOMMA DI DUE GAUSSIANE

Parametri (ordine):
N, w, mu1, sigma1, mu2, sigma2

MATRICE DI COVARIANZA:
	N	w	mu1	sigma1	mu2	sigma2
N	6.4091358121e+04	-3.7736290578e-03	3.0213780623e-03	-5.5267727747e-03	-1.5839194524e-01	1.2270232898e-01
w	-3.7736290578e-03	7.2411740939e-06	3.7805660530e-06	9.6028742036e-06	1.1776889036e-04	6.3214585978e-06
mu1	3.0213780623e-03	3.7805660530e-06	9.6769082142e-05	9.1538160147e-06	2.7518798281e-05	6.0973879724e-05
sigma1	-5.5267727747e-03	9.6028742036e-06	9.1538160147e-06	8.1547433135e-05	2.2603536752e-04	1.9231605774e-05
mu2	-1.5839194524e-01	1.1776889036e-04	2.7518798281e-05	2.2603536752e-04	6.5867863644e-03	3.1119697069e-07
sigma2	1.2270232898e-01	6.3214585978e-06	6.0973879724e-05	1.9231605774e-05	3.1119697069e-07	1.6533491835e-03

MATRICE DI CORRELAZIONE:
	N	w	mu1	sigma1	mu2	sigma2
N	1.000000	-0.005539	0.001213	-0.002418	-0.007709	0.011920
w	-0.005539	1.000000	0.142818	0.395177	0.539249	0.057774
mu1	0.001213	0.142818	1.000000	0.103045	0.034469	0.152438
sigma1	-0.002418	0.395177	0.103045	1.000000	0.308414	0.052375
mu2	-0.007709	0.539249	0.034469	0.308414	1.000000	0.000094
sigma2	0.011920	0.057774	0.152438	0.052375	0.000094	1.000000
