0 0
0.2435 0.000100353
0.487 0.00396854
0.7305 0.0193755
0.974 0.0463323
1.2175 0.0788352
1.461 0.110806
1.7045 0.138346
1.948 0.159695
2.1915 0.174559
2.435 0.183465
2.6785 0.187309
2.922 0.187081
3.1655 0.183727
3.409 0.178073
3.6525 0.170811
3.896 0.162499
4.1395 0.153572
4.383 0.144367
4.6265 0.135132
4.87 0.126049
5.1135 0.117248
5.357 0.108815
5.6005 0.100805
5.844 0.0932501
6.0875 0.0861628
6.331 0.0795437
6.5745 0.0733838
6.818 0.0676678
7.0615 0.062376
7.305 0.057486
7.5485 0.052974
7.792 0.0488159
8.0355 0.0449875
8.279 0.0414652
8.5225 0.0382262
8.766 0.0352489
9.0095 0.0325129
9.253 0.029999
9.4965 0.0276892
9.74 0.025567
9.9835 0.023617
10.227 0.0218248
10.4705 0.0201774
10.714 0.0186626
10.9575 0.0172695
11.201 0.0159878
11.4445 0.0148082
11.688 0.0137221
11.9315 0.0127218
12.175 0.0118001
12.4185 0.0109505
12.662 0.010167
12.9055 0.00944409
13.149 0.00877683
13.3925 0.00816065
13.636 0.00759137
13.8795 0.00706517
14.123 0.00657856
14.3665 0.00612836
14.61 0.00571164
14.8535 0.00532573
15.097 0.00496818
15.3405 0.00463675
15.584 0.00432939
15.8275 0.00404422
16.071 0.00377951
16.3145 0.00353368
16.558 0.00330527
16.8015 0.00309296
17.045 0.00289552
17.2885 0.00271182
17.532 0.00254083
17.7755 0.00238161
18.019 0.00223328
18.2625 0.00209502
18.506 0.00196611
18.7495 0.00184586
18.993 0.00173363
19.2365 0.00162885
19.48 0.00153099
19.7235 0.00143955
19.967 0.00135407
20.2105 0.00127414
20.454 0.00119935
20.6975 0.00112936
20.941 0.00106384
21.1845 0.00100246
21.428 0.000944952
21.6715 0.000891047
21.915 0.0008405
22.1585 0.000793086
22.402 0.000748593
22.6455 0.000706826
22.889 0.000667604
23.1325 0.00063076
23.376 0.000596136
23.6195 0.000563589
23.863 0.000532982
24.1065 0.00050419
24.35 0.000477097
24.5935 0.000451594
24.837 0.00042758
25.0805 0.00040496
25.324 0.000383647
25.5675 0.000363559
25.811 0.000344619
26.0545 0.000326756
26.298 0.000309905
26.5415 0.000294002
26.785 0.00027899
27.0285 0.000264815
27.272 0.000251426
27.5155 0.000238776
27.759 0.000226821
28.0025 0.000215519
28.246 0.000204832
28.4895 0.000194723
28.733 0.000185159
28.9765 0.000176107
29.22 0.000167538
29.4635 0.000159424
29.707 0.000151739
29.9505 0.000144458
30.194 0.000137558
30.4375 0.000131017
30.681 0.000124816
30.9245 0.000118935
31.168 0.000113356
31.4115 0.000108063
31.655 0.000103039
31.8985 9.82699e-05
32.142 9.37414e-05
32.3855 8.94405e-05
32.629 8.53548e-05
32.8725 8.14725e-05
33.116 7.77828e-05
33.3595 7.42752e-05
33.603 7.094e-05
33.8465 6.7768e-05
34.09 6.47506e-05
34.3335 6.18797e-05
34.577 5.91475e-05
34.8205 5.65467e-05
35.064 5.40705e-05
35.3075 5.17125e-05
35.551 4.94665e-05
35.7945 4.73268e-05
36.038 4.52879e-05
36.2815 4.33447e-05
36.525 4.14924e-05
36.7685 3.97262e-05
37.012 3.80419e-05
37.2555 3.64354e-05
37.499 3.49028e-05
37.7425 3.34404e-05
37.986 3.20446e-05
38.2295 3.07124e-05
38.473 2.94404e-05
38.7165 2.82258e-05
38.96 2.70657e-05
39.2035 2.59575e-05
39.447 2.48987e-05
39.6905 2.38869e-05
39.934 2.29199e-05
40.1775 2.19954e-05
40.421 2.11116e-05
40.6645 2.02664e-05
40.908 1.9458e-05
41.1515 1.86846e-05
41.395 1.79448e-05
41.6385 1.72368e-05
41.882 1.65591e-05
42.1255 1.59105e-05
42.369 1.52895e-05
42.6125 1.46949e-05
42.856 1.41254e-05
43.0995 1.35799e-05
43.343 1.30573e-05
43.5865 1.25566e-05
43.83 1.20767e-05
44.0735 1.16168e-05
44.317 1.1176e-05
44.5605 1.07533e-05
44.804 1.0348e-05
45.0475 9.9593e-06
45.291 9.58648e-06
45.5345 9.22883e-06
45.778 8.88567e-06
46.0215 8.55639e-06
46.265 8.24036e-06
46.5085 7.93702e-06
46.752 7.64581e-06
46.9955 7.36621e-06
47.239 7.09772e-06
47.4825 6.83986e-06
47.726 6.59217e-06
47.9695 6.35423e-06
48.213 6.12562e-06
48.4565 5.90594e-06
48.7 5.69482e-06
