255.408 0.198597 1.91203 1.29609 0.761152
256.154 0.197623 1.96487 1.32269 0.762182
256.899 0.196013 2.01709 1.34845 0.762478
257.644 0.194436 1.98071 1.32808 0.760584
258.39 0.192809 1.92984 1.30006 0.757529
259.135 0.163055 1.98858 1.32857 0.773476
259.88 0.123932 2.08355 1.37702 0.792452
260.626 0.122357 2.10822 1.38834 0.790829
261.371 0.14537 2.08876 1.37622 0.777494
262.116 0.16186 2.08744 1.37379 0.767311
262.862 0.17045 2.10635 1.38161 0.760992
263.607 0.175719 2.11957 1.38651 0.75644
264.353 0.174921 2.12172 1.38604 0.755097
265.098 0.170865 2.13074 1.38898 0.755216
265.843 0.154575 2.16502 1.40456 0.760492
266.589 0.141444 2.19371 1.41735 0.764023
267.334 0.165552 2.16188 1.39953 0.752027
268.079 0.190543 2.1295 1.38199 0.73928
268.825 0.128319 2.19376 1.41313 0.765424
269.57 0.0634188 2.26174 1.44837 0.790854
270.315 0.0984925 2.25982 1.44311 0.772567
271.061 0.157523 2.24318 1.43006 0.744551
271.806 0.180298 2.24368 1.42754 0.732702
272.551 0.185726 2.2519 1.42938 0.728428
273.297 0.18845 2.2701 1.43573 0.72488
274.042 0.188788 2.29636 1.4456 0.721881
274.787 0.182437 2.31097 1.45071 0.722379
275.533 0.167027 2.30942 1.44942 0.727795
276.278 0.167044 2.30695 1.44675 0.72659
277.023 0.20618 2.30258 1.441 0.708763
277.769 0.235169 2.30667 1.43966 0.695147
278.514 0.20405 2.3542 1.45957 0.704001
279.259 0.174327 2.3997 1.47883 0.71162
280.005 0.202021 2.38629 1.46964 0.700175
280.75 0.230423 2.37293 1.46078 0.688499
281.495 0.262131 2.35721 1.45116 0.675719
282.241 0.295032 2.3412 1.4418 0.662562
282.986 0.294932 2.35188 1.4445 0.661033
283.731 0.283824 2.37121 1.45104 0.663278
284.477 0.305784 2.36574 1.44643 0.654142
285.222 0.349052 2.34516 1.43551 0.637776
285.967 0.368389 2.34948 1.43507 0.62953
286.713 0.36131 2.3799 1.44506 0.630021
287.458 0.359235 2.39936 1.45079 0.629011
288.203 0.366701 2.39901 1.44898 0.625443
288.949 0.378793 2.39904 1.44713 0.620257
289.694 0.407185 2.40052 1.44523 0.609398
290.439 0.434225 2.4038 1.4441 0.599162
