# file Rave f
/home/alessandro/GitHub/Academia/nublar/data/output/Rave=1.44__f=0.100__lognormal__sg=1.20.dat 1.44 0.100
/home/alessandro/GitHub/Academia/nublar/data/output/Rave=1.67__f=0.200__lognormal__sg=1.20.dat 1.67 0.200
