time_s,n_scans,sources,coverage_fraction,coverage_fraction_std,Rave_nm,Rave_nm_std,sigma_geo_radius,sigma_geo_radius_std,equivalent_thickness_nm,equivalent_thickness_nm_std,number_density_per_um2,number_density_per_um2_std,mean_island_height_nm,mean_island_height_nm_std
10,2,001;003,0.329437255859375,0.0284881591796875,40.762548046248966,3.603985316806771,1.5334768121357707,0.0011991478740425165,1.252844123220015,0.6806350864409063,44.0,3.0,3.3489417722273696,1.6837659340137248
20,2,001;003,0.32605743408203125,0.02350616455078125,42.17779628608444,1.3309692636766428,1.5871610225800157,0.011107569838235576,1.006044955038758,0.16608115984906413,44.25,1.0,2.931312732927725,0.21182996450975722
30,2,001;003,0.32762908935546875,0.01245880126953125,38.57482006502658,0.5438682616690329,1.5476724304071212,0.024608657041859106,0.7238053893836478,0.3360154743301953,52.0,5.75,1.9768853109133393,0.9171581298882026
40,2,001;003,0.383697509765625,0.0309600830078125,50.49527478366418,5.854082709793964,1.7941392878402964,0.10125603885811263,3.756211306834829,2.0861404396170773,30.875,3.875,8.44113397824954,5.058580862085574
50,2,001;003,0.34308624267578125,0.01479339599609375,50.09724516402541,1.357459202937708,1.8354410321345327,0.01912663573383755,1.3313445011127585,0.90960776096279,25.875,2.875,2.501824813576668,1.5170027570302156
60,2,001;003,0.34175872802734375,0.05594635009765625,48.33596971935903,7.476589956583187,1.7644981611519668,0.10059480021449163,1.489822665022104,1.0949576310251568,31.375,6.875,2.7222950736310336,1.6223457649501796
