WSxM file copyright UAM
WSxM ASCII XYZ file
X[µm]		Y[µm]		Z[nm]
1,63137	0,627451	11,9568
1,63922	0,627451	10,791
1,64706	0,627451	7,86319
1,6549	0,627451	9,9872
1,66275	0,627451	13,039
1,67059	0,627451	15,104
1,67843	0,627451	16,1213
1,68627	0,627451	16,2777
1,69412	0,627451	15,2605
1,70196	0,627451	13,9488
1,7098	0,627451	10,897
1,71765	0,627451	9,83978
1,72549	0,627451	9,1916
1,73333	0,627451	8,17435
1,74118	0,627451	6,71161
1,74902	0,627451	8,6386
1,75686	0,627451	9,96589
1,76471	0,627451	10,9831
1,77255	0,627451	10,8423
1,78039	0,627451	11,699
1,78824	0,627451	10,6817
1,79608	0,627451	9,51759
1,80392	0,627451	6,61191
1,81176	0,627451	6,89637
1,81961	0,627451	6,46705
1,82745	0,627451	5,4498
1,83529	0,627451	8,27153
1,84314	0,627451	9,28878
1,85098	0,627451	10,0348
1,85882	0,627451	9,16462
1,86667	0,627451	9,32293
1,87451	0,627451	9,92186
1,88235	0,627451	8,90461
1,8902	0,627451	7,74147
1,89804	0,627451	7,12737
1,90588	0,627451	7,88836
1,91373	0,627451	10,0985
1,92157	0,627451	11,1158
1,92941	0,627451	11,7096
1,93725	0,627451	11,4233
1,9451	0,627451	10,406
1,95294	0,627451	8,79807
1,96078	0,627451	5,74631
1,96863	0,627451	6,46075
1,97647	0,627451	7,60412
1,98431	0,627451	10,6559
1,99216	0,627451	11,6731
2	0,627451	11,5148
0	0,635294	7,24909
0,00784314	0,635294	7,6085
0,0156863	0,635294	6,79776
0,0235294	0,635294	7,2326
0,0313725	0,635294	9,05814
0,0392157	0,635294	11,5471
0,0470588	0,635294	13,3017
0,054902	0,635294	14,6157
0,0627451	0,635294	15,633
0,0705882	0,635294	15,7728
0,0784314	0,635294	14,7556
0,0862745	0,635294	12,5462
0,0941176	0,635294	10,1238
0,101961	0,635294	9,41397
0,109804	0,635294	10,1203
0,117647	0,635294	11,1376
0,12549	0,635294	10,9859
0,133333	0,635294	9,96869
0,141176	0,635294	7,76177
0,14902	0,635294	7,89524
0,156863	0,635294	9,21208
0,164706	0,635294	10,2293
0,172549	0,635294	10,0883
0,180392	0,635294	9,49449
0,188235	0,635294	10,5166
0,196078	0,635294	11,5339
0,203922	0,635294	12,4112
0,211765	0,635294	11,9662
0,219608	0,635294	11,0814
0,227451	0,635294	10,0642
0,235294	0,635294	9,30562
0,243137	0,635294	10,0341
0,25098	0,635294	9,29438
0,258824	0,635294	8,27713
0,266667	0,635294	8,41988
0,27451	0,635294	9,13193
0,282353	0,635294	10,0074
0,290196	0,635294	10,2958
0,298039	0,635294	9,27854
0,305882	0,635294	8,37696
0,313725	0,635294	8,84166
0,321569	0,635294	10,013
0,329412	0,635294	11,0302
0,337255	0,635294	10,7334
0,345098	0,635294	10,2766
0,352941	0,635294	9,2594
0,360784	0,635294	8,49768
0,368627	0,635294	9,51493
0,376471	0,635294	9,3637
0,384314	0,635294	8,34645
0,392157	0,635294	7,16762
0,4	0,635294	5,98964
0,407843	0,635294	4,64966
0,415686	0,635294	5,97407
0,423529	0,635294	8,61248
0,431373	0,635294	9,78352
0,439216	0,635294	10,8008
0,447059	0,635294	12,2794
0,454902	0,635294	13,8905
0,462745	0,635294	14,9078
0,470588	0,635294	15,7844
0,478431	0,635294	15,1929
0,486275	0,635294	14,3083
0,494118	0,635294	13,2911
0,501961	0,635294	11,672
0,509804	0,635294	8,62026
0,517647	0,635294	6,07143
0,52549	0,635294	6,70614
0,533333	0,635294	7,43825
0,541176	0,635294	7,43669
0,54902	0,635294	8,02156
0,556863	0,635294	8,90163
0,564706	0,635294	9,64303
0,572549	0,635294	8,62578
0,580392	0,635294	7,60572
0,588235	0,635294	7,81993
0,596078	0,635294	8,99345
0,603922	0,635294	10,0107
0,611765	0,635294	10,1551
0,619608	0,635294	9,13787
0,627451	0,635294	9,2635
0,635294	0,635294	11,0233
0,643137	0,635294	12,0406
0,65098	0,635294	12,1841
0,658824	0,635294	12,1819
0,666667	0,635294	11,5919
0,67451	0,635294	10,5746
0,682353	0,635294	7,78267
0,690196	0,635294	4,73092
0,698039	0,635294	5,35332
0,705882	0,635294	6,08656
0,713725	0,635294	6,08612
0,721569	0,635294	5,06887
0,729412	0,635294	6,82776
0,737255	0,635294	7,84502
0,745098	0,635294	8,57927
0,752941	0,635294	7,78827
0,760784	0,635294	7,20127
0,768627	0,635294	6,31966
0,776471	0,635294	5,30241
0,784314	0,635294	7,31179
0,792157	0,635294	8,92545
0,8	0,635294	9,9427
0,807843	0,635294	10,6761
0,815686	0,635294	10,0872
0,823529	0,635294	9,06995
0,831373	0,635294	6,01819
0,839216	0,635294	4,26624
0,847059	0,635294	5,60044
0,854902	0,635294	6,92175
0,862745	0,635294	8,24466
0,870588	0,635294	9,26191
0,878431	0,635294	9,70306
0,886275	0,635294	9,26398
0,894118	0,635294	9,5587
0,901961	0,635294	9,11903
0,909804	0,635294	8,10177
0,917647	0,635294	7,40584
0,92549	0,635294	10,4576
0,933333	0,635294	13,396
0,941176	0,635294	15,013
0,94902	0,635294	16,0302
0,956863	0,635294	16,4722
0,964706	0,635294	16,0339
0,972549	0,635294	15,0167
0,980392	0,635294	12,9629
0,988235	0,635294	9,91117
0,996078	0,635294	8,70053
1,00392	0,635294	7,68328
1,01176	0,635294	6,69447
1,01961	0,635294	7,13555
1,02745	0,635294	6,37626
1,03529	0,635294	7,402
1,04314	0,635294	8,41925
1,05098	0,635294	8,71803
1,05882	0,635294	8,57394
1,06667	0,635294	7,55669
1,07451	0,635294	6,70892
1,08235	0,635294	10,3945
1,0902	0,635294	13,4463
1,09804	0,635294	16,4027
1,10588	0,635294	18,4457
1,11373	0,635294	19,4629
1,12157	0,635294	20,3471
1,12941	0,635294	19,3299
1,13725	0,635294	18,1681
1,1451	0,635294	15,1163
1,15294	0,635294	12,0332
1,16078	0,635294	9,0598
1,16863	0,635294	8,04255
1,17647	0,635294	7,15696
1,18431	0,635294	7,89333
1,19216	0,635294	8,48315
1,2	0,635294	7,89801
1,20784	0,635294	8,05755
1,21569	0,635294	8,94278
1,22353	0,635294	7,92553
1,23137	0,635294	7,48462
1,23922	0,635294	7,92369
1,24706	0,635294	8,94095
1,2549	0,635294	9,82512
1,26275	0,635294	9,09379
1,27059	0,635294	8,07654
1,27843	0,635294	5,8763
1,28627	0,635294	6,50783
1,29412	0,635294	7,63324
1,30196	0,635294	8,6505
1,3098	0,635294	9,38699
1,31765	0,635294	8,50798
1,32549	0,635294	7,51631
1,33333	0,635294	9,57532
1,34118	0,635294	11,4878
1,34902	0,635294	12,505
1,35686	0,635294	12,9486
1,36471	0,635294	12,5119
1,37255	0,635294	11,4946
1,38039	0,635294	10,0894
1,38824	0,635294	8,33383
1,39608	0,635294	6,72498
1,40392	0,635294	6,12964
1,41176	0,635294	6,63331
1,41961	0,635294	5,61606
1,42745	0,635294	6,24181
1,43529	0,635294	7,25907
1,44314	0,635294	7,85053
1,45098	0,635294	7,94243
1,45882	0,635294	10,0457
1,46667	0,635294	11,8111
1,47451	0,635294	12,8284
1,48235	0,635294	13,273
1,4902	0,635294	12,3953
1,49804	0,635294	11,3781
1,50588	0,635294	13,4789
1,51373	0,635294	14,4961
1,52157	0,635294	14,7942
1,52941	0,635294	15,2396
1,53725	0,635294	14,2223
1,5451	0,635294	12,6117
1,55294	0,635294	9,55996
1,56078	0,635294	9,67776
1,56863	0,635294	8,97673
1,57647	0,635294	8,67581
1,58431	0,635294	7,65856
1,59216	0,635294	10,5982
1,6	0,635294	12,0755
1,60784	0,635294	13,1115
1,61569	0,635294	14,1287
1,62353	0,635294	13,9913
1,63137	0,635294	12,974
1,63922	0,635294	11,8083
1,64706	0,635294	8,88044
1,6549	0,635294	11,6604
1,66275	0,635294	14,7121
1,67059	0,635294	16,1859
1,67843	0,635294	17,2032
1,68627	0,635294	17,9426
1,69412	0,635294	17,3604
1,70196	0,635294	16,3431
1,7098	0,635294	13,2914
1,71765	0,635294	10,0668
1,72549	0,635294	8,17435
1,73333	0,635294	7,1571
1,74118	0,635294	5,69436
1,74902	0,635294	7,62135
1,75686	0,635294	9,78616
1,76471	0,635294	12,1418
1,77255	0,635294	13,4697
1,78039	0,635294	14,487
1,78824	0,635294	13,4697
1,79608	0,635294	12,3012
1,80392	0,635294	9,66366
1,81176	0,635294	7,91362
1,81961	0,635294	7,48431
1,82745	0,635294	6,46705
1,83529	0,635294	9,28878
1,84314	0,635294	10,306
1,85098	0,635294	11,0521
1,85882	0,635294	10,1819
1,86667	0,635294	10,3402
1,87451	0,635294	10,9391
1,88235	0,635294	9,92186
1,8902	0,635294	9,90898
1,89804	0,635294	10,1791
1,90588	0,635294	9,16188
1,91373	0,635294	9,08126
1,92157	0,635294	10,0985
1,92941	0,635294	10,6924
1,93725	0,635294	10,406
1,9451	0,635294	9,38876
1,95294	0,635294	7,78081
1,96078	0,635294	6,37198
1,96863	0,635294	6,53136
1,97647	0,635294	6,25029
1,98431	0,635294	7,60412
1,99216	0,635294	8,62137
2	0,635294	8,46303
0	0,643137	7,6085
0,00784314	0,643137	8,62575
0,0156863	0,643137	7,6085
0,0235294	0,643137	7,73307
0,0313725	0,643137	10,0754
0,0392157	0,643137	12,5644
0,0470588	0,643137	14,4607
0,054902	0,643137	15,633
0,0627451	0,643137	16,6502
0,0705882	0,643137	16,7901
0,0784314	0,643137	15,9516
0,0862745	0,643137	14,9344
0,0941176	0,643137	12,5955
0,101961	0,643137	9,54374
0,109804	0,643137	7,37947
0,117647	0,643137	8,08951
0,12549	0,643137	8,96332
0,133333	0,643137	7,94607
0,141176	0,643137	6,07244
0,14902	0,643137	7,08969
0,156863	0,643137	8,05983
0,164706	0,643137	9,07823
0,172549	0,643137	10,0955
0,180392	0,643137	10,2362
0,188235	0,643137	9,64247
0,196078	0,643137	10,0772
0,203922	0,643137	10,6611
0,211765	0,643137	10,5089
0,219608	0,643137	9,49165
0,227451	0,643137	7,87056
0,235294	0,643137	8,28836
0,243137	0,643137	9,01681
0,25098	0,643137	8,27713
0,258824	0,643137	8,85598
0,266667	0,643137	10,488
0,27451	0,643137	11,5052
0,282353	0,643137	11,515
0,290196	0,643137	11,0834
0,298039	0,643137	10,0661
0,305882	0,643137	8,01964
0,313725	0,643137	7,65431
0,321569	0,643137	8,67157
0,329412	0,643137	9,53358
0,337255	0,643137	10,8637
0,345098	0,643137	11,881
0,352941	0,643137	11,5962
0,360784	0,643137	10,579
0,368627	0,643137	9,37013
0,376471	0,643137	8,48466
0,384314	0,643137	7,46741
0,392157	0,643137	6,15037
0,4	0,643137	4,97239
0,407843	0,643137	4,64872
0,415686	0,643137	4,95682
0,423529	0,643137	7,59523
0,431373	0,643137	8,76627
0,439216	0,643137	10,2449
0,447059	0,643137	13,2967
0,454902	0,643137	14,9078
0,462745	0,643137	15,925
0,470588	0,643137	16,8017
0,478431	0,643137	16,2102
0,486275	0,643137	15,3256
0,494118	0,643137	14,3083
0,501961	0,643137	12,6893
0,509804	0,643137	9,63751
0,517647	0,643137	6,40297
0,52549	0,643137	5,49239
0,533333	0,643137	5,62026
0,541176	0,643137	7,88438
0,54902	0,643137	10,9361
0,556863	0,643137	11,9534
0,564706	0,643137	12,6948
0,572549	0,643137	11,6775
0,580392	0,643137	10,6575
0,588235	0,643137	7,79899
0,596078	0,643137	8,82402
0,603922	0,643137	9,84128
0,611765	0,643137	9,83794
0,619608	0,643137	8,82069
0,627451	0,643137	11,1539
0,635294	0,643137	13,069
0,643137	0,643137	14,0862
0,65098	0,643137	14,5338
0,658824	0,643137	14,6874
0,666667	0,643137	13,9598
0,67451	0,643137	12,9426
0,682353	0,643137	10,1589
0,690196	0,643137	7,10709
0,698039	0,643137	4,15223
0,705882	0,643137	3,39721
0,713725	0,643137	3,63928
0,721569	0,643137	3,93073
0,729412	0,643137	4,87416
0,737255	0,643137	5,89141
0,745098	0,643137	6,57575
0,752941	0,643137	7,593
0,760784	0,643137	8,1787
0,768627	0,643137	7,29624
0,776471	0,643137	6,40976
0,784314	0,643137	8,32904
0,792157	0,643137	9,9427
0,8	0,643137	10,96
0,807843	0,643137	11,6934
0,815686	0,643137	11,1045
0,823529	0,643137	10,0872
0,831373	0,643137	7,03544
0,839216	0,643137	4,83963
0,847059	0,643137	5,28503
0,854902	0,643137	5,9045
0,862745	0,643137	7,2274
0,870588	0,643137	8,24466
0,878431	0,643137	8,68581
0,886275	0,643137	8,24673
0,894118	0,643137	8,54145
0,901961	0,643137	8,10177
0,909804	0,643137	7,08452
0,917647	0,643137	6,72813
0,92549	0,643137	9,77989
0,933333	0,643137	12,5697
0,941176	0,643137	14,1845
0,94902	0,643137	15,2017
0,956863	0,643137	15,495
0,964706	0,643137	15,0538
0,972549	0,643137	14,0365
0,980392	0,643137	12,4212
0,988235	0,643137	9,36941
0,996078	0,643137	7,68328
1,00392	0,643137	6,69447
1,01176	0,643137	7,71172
1,01961	0,643137	8,1528
1,02745	0,643137	7,13555
1,03529	0,643137	5,54696
1,04314	0,643137	6,68353
1,05098	0,643137	7,70078
1,05882	0,643137	7,55669
1,06667	0,643137	6,53944
1,07451	0,643137	8,21562
1,08235	0,643137	10,8434
1,0902	0,643137	14,3682
1,09804	0,643137	17,4199
1,10588	0,643137	19,036
1,11373	0,643137	20,0533
1,12157	0,643137	20,9357
1,12941	0,643137	20,2026
1,13725	0,643137	19,1853
1,1451	0,643137	16,1336
1,15294	0,643137	13,0505
1,16078	0,643137	9,59529
1,16863	0,643137	7,0253
1,17647	0,643137	5,56905
1,18431	0,643137	6,5863
1,19216	0,643137	6,8849
1,2	0,643137	6,74229
1,20784	0,643137	7,0403
1,21569	0,643137	7,92553
1,22353	0,643137	6,90827
1,23137	0,643137	7,73982
1,23922	0,643137	7,30151
1,24706	0,643137	7,67825
1,2549	0,643137	7,82747
1,26275	0,643137	6,81022
1,27059	0,643137	5,46969
1,27843	0,643137	4,97575
1,28627	0,643137	6,67441
1,29412	0,643137	9,61312
1,30196	0,643137	10,6304
1,3098	0,643137	11,219
1,31765	0,643137	11,2212
1,32549	0,643137	10,2039
1,33333	0,643137	8,4608
1,34118	0,643137	10,0819
1,34902	0,643137	11,0992
1,35686	0,643137	11,5453
1,36471	0,643137	11,4052
1,37255	0,643137	10,3879
1,38039	0,643137	9,07211
1,38824	0,643137	8,11627
1,39608	0,643137	9,13352
1,40392	0,643137	9,71461
1,41176	0,643137	9,47607
1,41961	0,643137	8,45882
1,42745	0,643137	6,33463
1,43529	0,643137	6,6466
1,44314	0,643137	7,66385
1,45098	0,643137	8,01119
1,45882	0,643137	11,063
1,46667	0,643137	12,8284
1,47451	0,643137	13,8456
1,48235	0,643137	14,2903
1,4902	0,643137	13,8894
1,49804	0,643137	12,8721
1,50588	0,643137	10,4271
1,51373	0,643137	11,4444
1,52157	0,643137	11,7424
1,52941	0,643137	12,1878
1,53725	0,643137	11,1706
1,5451	0,643137	9,55996
1,55294	0,643137	8,01185
1,56078	0,643137	6,9946
1,56863	0,643137	5,89668
1,57647	0,643137	5,8387
1,58431	0,643137	7,60428
1,59216	0,643137	9,66461
1,6	0,643137	11,8724
1,60784	0,643137	12,8896
1,61569	0,643137	13,4811
1,62353	0,643137	13,1923
1,63137	0,643137	12,3165
1,63922	0,643137	11,2992
1,64706	0,643137	9,39501
1,6549	0,643137	12,6776
1,66275	0,643137	15,7294
1,67059	0,643137	17,2032
1,67843	0,643137	18,2204
1,68627	0,643137	18,9598
1,69412	0,643137	18,3777
1,70196	0,643137	17,3604
1,7098	0,643137	14,3086
1,71765	0,643137	11,084
1,72549	0,643137	7,41822
1,73333	0,643137	5,47165
1,74118	0,643137	5,10292
1,74902	0,643137	8,15468
1,75686	0,643137	10,8034
1,76471	0,643137	13,159
1,77255	0,643137	14,487
1,78039	0,643137	15,5043
1,78824	0,643137	14,7491
1,79608	0,643137	13,7318
1,80392	0,643137	12,1149
1,81176	0,643137	9,32299
1,81961	0,643137	6,87208
1,82745	0,643137	6,30814
1,83529	0,643137	9,25066
1,84314	0,643137	10,2679
1,85098	0,643137	11,1559
1,85882	0,643137	10,4276
1,86667	0,643137	10,1407
1,87451	0,643137	10,8683
1,88235	0,643137	11,9435
1,8902	0,643137	12,9607
1,89804	0,643137	13,1045
1,90588	0,643137	12,0873
1,91373	0,643137	10,9101
1,92157	0,643137	8,2647
1,92941	0,643137	7,8018
1,93725	0,643137	7,66691
1,9451	0,643137	6,64966
1,95294	0,643137	5,74513
1,96078	0,643137	6,1146
1,96863	0,643137	5,68188
1,97647	0,643137	5,23303
1,98431	0,643137	4,66927
1,99216	0,643137	4,52991
2	0,643137	4,68456
0	0,65098	8,19365
0,00784314	0,65098	8,49858
0,0156863	0,65098	7,48132
0,0235294	0,65098	6,97108
0,0313725	0,65098	10,0228
0,0392157	0,65098	12,9707
0,0470588	0,65098	15,478
0,054902	0,65098	16,4952
0,0627451	0,65098	17,3877
0,0705882	0,65098	17,3982
0,0784314	0,65098	16,9689
0,0862745	0,65098	15,9516
0,0941176	0,65098	13,6128
0,101961	0,65098	10,561
0,109804	0,65098	6,60726
0,117647	0,65098	5,74719
0,12549	0,65098	6,62196
0,133333	0,65098	5,6047
0,141176	0,65098	7,08969
0,14902	0,65098	8,10694
0,156863	0,65098	8,26343
0,164706	0,65098	8,06098
0,172549	0,65098	9,07823
0,180392	0,65098	9,21894
0,188235	0,65098	8,62522
0,196078	0,65098	9,05999
0,203922	0,65098	8,04274
0,211765	0,65098	7,45714
0,219608	0,65098	6,43989
0,227451	0,65098	5,66401
0,235294	0,65098	6,68126
0,243137	0,65098	7,11564
0,25098	0,65098	8,54994
0,258824	0,65098	9,5867
0,266667	0,65098	11,8052
0,27451	0,65098	13,0017
0,282353	0,65098	14,019
0,290196	0,65098	13,1593
0,298039	0,65098	12,142
0,305882	0,65098	9,6673
0,313725	0,65098	6,61554
0,321569	0,65098	8,7801
0,329412	0,65098	10,5508
0,337255	0,65098	11,881
0,345098	0,65098	12,8982
0,352941	0,65098	12,6135
0,360784	0,65098	11,5962
0,368627	0,65098	8,54449
0,376471	0,65098	7,46741
0,384314	0,65098	6,45016
0,392157	0,65098	4,72905
0,4	0,65098	3,71179
0,407843	0,65098	3,63146
0,415686	0,65098	4,18598
0,423529	0,65098	5,39121
0,431373	0,65098	7,47186
0,439216	0,65098	10,5236
0,447059	0,65098	13,4685
0,454902	0,65098	14,4858
0,462745	0,65098	15,3933
0,470588	0,65098	16,4105
0,478431	0,65098	16,1249
0,486275	0,65098	15,3987
0,494118	0,65098	14,3814
0,501961	0,65098	12,3335
0,509804	0,65098	9,28174
0,517647	0,65098	6,47536
0,52549	0,65098	3,95478
0,533333	0,65098	7,00654
0,541176	0,65098	9,51799
0,54902	0,65098	12,1766
0,556863	0,65098	13,366
0,564706	0,65098	14,3833
0,572549	0,65098	13,366
0,580392	0,65098	12,206
0,588235	0,65098	9,57676
0,596078	0,65098	7,80677
0,603922	0,65098	8,82402
0,611765	0,65098	8,82069
0,619608	0,65098	9,11936
0,627451	0,65098	12,1711
0,635294	0,65098	14,0862
0,643137	0,65098	15,1035
0,65098	0,65098	15,551
0,658824	0,65098	15,7046
0,666667	0,65098	14,9771
0,67451	0,65098	13,9598
0,682353	0,65098	11,203
0,690196	0,65098	8,15127
0,698039	0,65098	5,16948
0,705882	0,65098	4,21265
0,713725	0,65098	5,22991
0,721569	0,65098	5,6809
0,729412	0,65098	5,34838
0,737255	0,65098	4,33113
0,745098	0,65098	5,5585
0,752941	0,65098	6,57575
0,760784	0,65098	7,16144
0,768627	0,65098	6,68791
0,776471	0,65098	7,51292
0,784314	0,65098	8,47718
0,792157	0,65098	10,8317
0,8	0,65098	11,8489
0,807843	0,65098	12,2954
0,815686	0,65098	11,2781
0,823529	0,65098	10,1089
0,831373	0,65098	7,32412
0,839216	0,65098	5,85689
0,847059	0,65098	6,30228
0,854902	0,65098	5,83426
0,862745	0,65098	6,13508
0,870588	0,65098	6,70177
0,878431	0,65098	7,34955
0,886275	0,65098	7,50147
0,894118	0,65098	7,14011
0,901961	0,65098	6,91938
0,909804	0,65098	7,93663
0,917647	0,65098	7,2084
0,92549	0,65098	8,76263
0,933333	0,65098	11,5524
0,941176	0,65098	13,1672
0,94902	0,65098	14,1845
0,956863	0,65098	14,4777
0,964706	0,65098	14,4498
0,972549	0,65098	13,4326
0,980392	0,65098	11,8217
0,988235	0,65098	8,76993
0,996078	0,65098	5,69004
1,00392	0,65098	6,99686
1,01176	0,65098	8,01412
1,01961	0,65098	8,45825
1,02745	0,65098	7,58147
1,03529	0,65098	6,56421
1,04314	0,65098	6,42864
1,05098	0,65098	7,4459
1,05882	0,65098	7,4492
1,06667	0,65098	6,43195
1,07451	0,65098	9,23287
1,08235	0,65098	10,9981
1,0902	0,65098	13,3509
1,09804	0,65098	16,4027
1,10588	0,65098	18,9382
1,11373	0,65098	19,9555
1,12157	0,65098	20,3988
1,12941	0,65098	20,1084
1,13725	0,65098	19,0912
1,1451	0,65098	17,0386
1,15294	0,65098	13,9868
1,16078	0,65098	10,6125
1,16863	0,65098	7,14576
1,17647	0,65098	6,1285
1,18431	0,65098	4,87218
1,19216	0,65098	6,34191
1,2	0,65098	7,35916
1,20784	0,65098	7,28663
1,21569	0,65098	6,26938
1,22353	0,65098	5,70532
1,23137	0,65098	6,72257
1,23922	0,65098	7,67825
1,24706	0,65098	8,6955
1,2549	0,65098	8,84472
1,26275	0,65098	7,82747
1,27059	0,65098	6,40055
1,27843	0,65098	5,83204
1,28627	0,65098	8,88379
1,29412	0,65098	11,0823
1,30196	0,65098	12,1063
1,3098	0,65098	13,1235
1,31765	0,65098	12,2384
1,32549	0,65098	11,2212
1,33333	0,65098	9,31376
1,34118	0,65098	7,54449
1,34902	0,65098	8,14588
1,35686	0,65098	9,16313
1,36471	0,65098	9,3108
1,37255	0,65098	8,29354
1,38039	0,65098	9,11853
1,38824	0,65098	11,168
1,39608	0,65098	12,1853
1,40392	0,65098	12,7664
1,41176	0,65098	12,4662
1,41961	0,65098	11,4489
1,42745	0,65098	9,38639
1,43529	0,65098	6,33463
1,44314	0,65098	6,6466
1,45098	0,65098	9,22598
1,45882	0,65098	12,2777
1,46667	0,65098	13,5943
1,47451	0,65098	14,6116
1,48235	0,65098	15,1997
1,4902	0,65098	15,1789
1,49804	0,65098	14,1617
1,50588	0,65098	11,6566
1,51373	0,65098	8,8574
1,52157	0,65098	8,34577
1,52941	0,65098	8,35321
1,53725	0,65098	7,4267
1,5451	0,65098	8,00713
1,55294	0,65098	8,30153
1,56078	0,65098	7,28428
1,56863	0,65098	5,96306
1,57647	0,65098	5,52784
1,58431	0,65098	6,58702
1,59216	0,65098	8,64736
1,6	0,65098	10,8551
1,60784	0,65098	11,8724
1,61569	0,65098	12,4638
1,62353	0,65098	12,1751
1,63137	0,65098	11,2992
1,63922	0,65098	10,282
1,64706	0,65098	8,37776
1,6549	0,65098	11,6604
1,66275	0,65098	14,7121
1,67059	0,65098	16,1859
1,67843	0,65098	17,2032
1,68627	0,65098	17,9426
1,69412	0,65098	17,3604
1,70196	0,65098	16,3431
1,7098	0,65098	14,3231
1,71765	0,65098	11,2713
1,72549	0,65098	8,03951
1,73333	0,65098	4,70744
1,74118	0,65098	5,54841
1,74902	0,65098	8,17739
1,75686	0,65098	11,2292
1,76471	0,65098	13,4307
1,77255	0,65098	14,7503
1,78039	0,65098	15,7676
1,78824	0,65098	15,7663
1,79608	0,65098	14,7491
1,80392	0,65098	13,1322
1,81176	0,65098	10,3402
1,81961	0,65098	7,28848
1,82745	0,65098	6,36049
1,83529	0,65098	8,23341
1,84314	0,65098	9,25066
1,85098	0,65098	10,1387
1,85882	0,65098	9,41039
1,86667	0,65098	11,5889
1,87451	0,65098	13,9201
1,88235	0,65098	14,9373
1,8902	0,65098	15,5061
1,89804	0,65098	15,0463
1,90588	0,65098	14,029
1,91373	0,65098	12,5413
1,92157	0,65098	9,48957
1,92941	0,65098	6,2302
1,93725	0,65098	4,61515
1,9451	0,65098	5,74513
1,95294	0,65098	6,76238
1,96078	0,65098	6,90645
1,96863	0,65098	5,88919
1,97647	0,65098	4,08462
1,98431	0,65098	3,65201
1,99216	0,65098	3,92707
2	0,65098	4,94432
0	0,658824	8,10089
0,00784314	0,658824	8,42333
0,0156863	0,658824	7,40607
0,0235294	0,658824	7,40499
0,0313725	0,658824	10,6629
0,0392157	0,658824	13,7146
0,0470588	0,658824	15,5048
0,054902	0,658824	16,8535
0,0627451	0,658824	17,8708
0,0705882	0,658824	17,6045
0,0784314	0,658824	16,5873
0,0862745	0,658824	14,9992
0,0941176	0,658824	12,5955
0,101961	0,658824	9,54374
0,109804	0,658824	5,68685
0,117647	0,658824	4,92268
0,12549	0,658824	5,84136
0,133333	0,658824	6,25135
0,141176	0,658824	7,89183
0,14902	0,658824	8,90909
0,156863	0,658824	8,78797
0,164706	0,658824	8,92587
0,172549	0,658824	9,99287
0,180392	0,658824	11,0101
0,188235	0,658824	10,6093
0,196078	0,658824	9,59207
0,203922	0,658824	8,16249
0,211765	0,658824	5,11074
0,219608	0,658824	4,64926
0,227451	0,658824	4,24321
0,235294	0,658824	4,65719
0,243137	0,658824	7,02882
0,25098	0,658824	8,51918
0,258824	0,658824	10,8762
0,266667	0,658824	12,9635
0,27451	0,658824	14,019
0,282353	0,658824	15,0363
0,290196	0,658824	14,1765
0,298039	0,658824	13,1593
0,305882	0,658824	11,2946
0,313725	0,658824	8,24287
0,321569	0,658824	8,41942
0,329412	0,658824	10,9362
0,337255	0,658824	11,9846
0,345098	0,658824	13,0019
0,352941	0,658824	12,5819
0,360784	0,658824	11,5646
0,368627	0,658824	9,52883
0,376471	0,658824	6,47707
0,384314	0,658824	5,17206
0,392157	0,658824	5,63213
0,4	0,658824	4,61488
0,407843	0,658824	4,04718
0,415686	0,658824	4,95407
0,423529	0,658824	4,53175
0,431373	0,658824	6,45461
0,439216	0,658824	9,50637
0,447059	0,658824	12,4513
0,454902	0,658824	14,0285
0,462745	0,658824	15,0737
0,470588	0,658824	16,091
0,478431	0,658824	16,2542
0,486275	0,658824	15,3903
0,494118	0,658824	14,373
0,501961	0,658824	11,7467
0,509804	0,658824	8,69498
0,517647	0,658824	5,90571
0,52549	0,658824	5,66811
0,533333	0,658824	9,21316
0,541176	0,658824	12,2649
0,54902	0,658824	13,4611
0,556863	0,658824	14,4784
0,564706	0,658824	15,4005
0,572549	0,658824	14,9597
0,580392	0,658824	13,9424
0,588235	0,658824	11,0255
0,596078	0,658824	7,97378
0,603922	0,658824	6,71059
0,611765	0,658824	6,86376
0,619608	0,658824	8,95948
0,627451	0,658824	12,0112
0,635294	0,658824	14,0798
0,643137	0,658824	15,097
0,65098	0,658824	15,9903
0,658824	0,658824	16,0031
0,666667	0,658824	15,2812
0,67451	0,658824	14,264
0,682353	0,658824	12,2203
0,690196	0,658824	9,16852
0,698039	0,658824	6,28059
0,705882	0,658824	5,73852
0,713725	0,658824	7,22166
0,721569	0,658824	8,23892
0,729412	0,658824	8,40014
0,737255	0,658824	7,38289
0,745098	0,658824	4,75323
0,752941	0,658824	5,5124
0,760784	0,658824	6,32883
0,768627	0,658824	7,51292
0,776471	0,658824	8,53017
0,784314	0,658824	8,99941
0,792157	0,658824	10,4768
0,8	0,658824	11,4941
0,807843	0,658824	12,0903
0,815686	0,658824	11,5112
0,823529	0,658824	10,4939
0,831373	0,658824	8,00593
0,839216	0,658824	4,95417
0,847059	0,658824	6,24874
0,854902	0,658824	7,26599
0,862745	0,658824	7,42214
0,870588	0,658824	6,40489
0,878431	0,658824	6,3323
0,886275	0,658824	6,48422
0,894118	0,658824	7,32777
0,901961	0,658824	8,34502
0,909804	0,658824	8,95388
