# Z_nm	Fit_totale_conteggi	Gauss1_conteggi	Gauss2_conteggi
Distribuzione delle altezze tramite la convoluzione di due Gaussiane (Foto si vede meglio)

X		Y(Conv_Gauss)	Y(Gauss_1_blu)	Y(Gauss_2_verde)
2.657976	682.236713	616.824753	65.411960
2.675349	695.323753	628.902260	66.421492
2.692721	708.577769	641.134703	67.443066
2.710093	721.998711	653.521952	68.476759
2.727466	735.586465	666.063818	69.522646
2.744838	749.340852	678.760048	70.580805
2.762211	763.261632	691.610323	71.651309
2.779583	777.348494	704.614262	72.734232
2.796955	791.601062	717.771414	73.829648
2.814328	806.018893	731.081263	74.937630
2.831700	820.601471	744.543224	76.058248
2.849073	835.348215	758.156642	77.191573
2.866445	850.258467	771.920792	78.337674
2.883817	865.331500	785.834879	79.496621
2.901190	880.566515	799.898035	80.668480
2.918562	895.962635	814.109317	81.853318
2.935935	911.518912	828.467711	83.051201
2.953307	927.234320	842.972127	84.262192
2.970679	943.107757	857.621401	85.486356
2.988052	959.138044	872.414292	86.723753
3.005424	975.323926	887.349481	87.974444
3.022796	991.664064	902.425575	89.238490
3.040169	1008.157046	917.641099	90.515947
3.057541	1024.801376	932.994502	91.806875
3.074914	1041.595480	948.484153	93.111327
3.092286	1058.537700	964.108342	94.429358
3.109658	1075.626300	979.865278	95.761022
3.127031	1092.859460	995.753091	97.106369
3.144403	1110.235278	1011.769829	98.465450
3.161776	1127.751771	1027.913458	99.838313
3.179148	1145.406872	1044.181866	101.225005
3.196520	1163.198430	1060.572857	102.625573
3.213893	1181.124211	1077.084152	104.040059
3.231265	1199.181900	1093.713393	105.468507
3.248638	1217.369095	1110.458138	106.910957
3.266010	1235.683312	1127.315864	108.367448
3.283382	1254.121985	1144.283967	109.838017
3.300755	1272.682461	1161.359759	111.322701
3.318127	1291.362005	1178.540473	112.821533
3.335500	1310.157802	1195.823257	114.334545
3.352872	1329.066948	1213.205181	115.861767
3.370244	1348.086462	1230.683233	117.403229
3.387617	1367.213276	1248.254320	118.958956
3.404989	1386.444243	1265.915269	120.528973
3.422362	1405.776133	1283.662829	122.113304
3.439734	1425.205636	1301.493668	123.711968
3.457106	1444.729361	1319.404375	125.324985
3.474479	1464.343836	1337.391464	126.952372
3.491851	1484.045512	1355.451370	128.594142
3.509224	1503.830760	1373.580451	130.250309
3.526596	1523.695874	1391.774990	131.920883
3.543968	1543.637071	1410.031198	133.605873
3.561341	1563.650492	1428.345208	135.305284
3.578713	1583.732204	1446.713083	137.019121
3.596085	1603.878200	1465.130814	138.747386
3.613458	1624.084399	1483.594322	140.490077
3.630830	1644.346649	1502.099457	142.247192
3.648203	1664.660730	1520.642004	144.018726
3.665575	1685.022349	1539.217678	145.804671
3.682947	1705.427148	1557.822131	147.605017
3.700320	1725.870703	1576.450950	149.419753
3.717692	1746.348523	1595.099660	151.248863
3.735065	1766.856055	1613.763725	153.092331
3.752437	1787.388685	1632.438550	154.950136
3.769809	1807.941738	1651.119482	156.822256
3.787182	1828.510480	1669.801812	158.708667
3.804554	1849.090121	1688.480779	160.609342
3.821927	1869.675816	1707.151566	162.524250
3.839299	1890.262668	1725.809308	164.453360
3.856671	1910.845726	1744.449091	166.396635
3.874044	1931.419994	1763.065955	168.354039
3.891416	1951.980426	1781.654895	170.325531
3.908789	1972.521931	1800.210864	172.311068
3.926161	1993.039376	1818.728773	174.310603
3.943533	2013.527586	1837.203498	176.324089
3.960906	2033.981350	1855.629876	178.351474
3.978278	2054.395416	1874.002713	180.392703
3.995651	2074.764503	1892.316783	182.447720
4.013023	2095.083296	1910.566831	184.516465
4.030395	2115.346450	1928.747574	186.598875
4.047768	2135.548593	1946.853708	188.694885
4.065140	2155.684331	1964.879904	190.804427
4.082513	2175.748245	1982.820818	192.927428
4.099885	2195.734900	2000.671085	195.063814
4.117257	2215.638840	2018.425330	197.213509
4.134630	2235.454598	2036.078165	199.376433
4.152002	2255.176695	2053.624194	201.552501
4.169374	2274.799641	2071.058013	203.741628
4.186747	2294.317943	2088.374218	205.943725
4.204119	2313.726102	2105.567402	208.158700
4.221492	2333.018618	2122.632162	210.386456
4.238864	2352.189996	2139.563099	212.626897
4.256236	2371.234743	2156.354821	214.879921
4.273609	2390.147373	2173.001950	217.145424
4.290981	2408.922415	2189.499118	219.423297
4.308354	2427.554405	2205.840974	221.713431
4.325726	2446.037900	2222.022188	224.015711
4.343098	2464.367473	2238.037451	226.330022
4.360471	2482.537721	2253.881478	228.656243
4.377843	2500.543265	2269.549014	230.994251
4.395216	2518.378752	2285.034831	233.343921
4.412588	2536.038862	2300.333739	235.705122
4.429960	2553.518306	2315.440582	238.077723
4.447333	2570.811832	2330.350244	240.461588
4.464705	2587.914229	2345.057650	242.856579
4.482078	2604.820325	2359.557771	245.262553
4.499450	2621.524993	2373.845627	247.679366
4.516822	2638.023157	2387.916287	250.106870
4.534195	2654.309787	2401.764873	252.544913
4.551567	2670.379909	2415.386567	254.993341
4.568940	2686.228604	2428.776606	257.451997
4.586312	2701.851012	2441.930292	259.920720
4.603684	2717.242334	2454.842989	262.399346
4.621057	2732.397838	2467.510130	264.887707
4.638429	2747.312854	2479.927219	267.385635
4.655802	2761.982787	2492.089830	269.892956
4.673174	2776.403109	2503.993615	272.409494
4.690546	2790.569371	2515.634302	274.935069
4.707919	2804.477200	2527.007701	277.469499
4.725291	2818.122301	2538.109704	280.012597
4.742663	2831.500465	2548.936289	282.564177
4.760036	2844.607565	2559.483520	285.124045
4.777408	2857.439563	2569.747555	287.692007
4.794781	2869.992508	2579.724642	290.267866
4.812153	2882.262544	2589.411124	292.851419
4.829525	2894.245907	2598.803442	295.442465
4.846898	2905.938930	2607.898135	298.040795
4.864270	2917.338044	2616.691844	300.646200
4.881643	2928.439783	2625.181316	303.258467
4.899015	2939.240779	2633.363398	305.877381
4.916387	2949.737772	2641.235050	308.502722
4.933760	2959.927607	2648.793338	311.134269
4.951132	2969.807239	2656.035440	313.771799
4.968505	2979.373730	2662.958648	316.415082
4.985877	2988.624257	2669.560367	319.063891
5.003249	2997.556108	2675.838118	321.717991
5.020622	3006.166688	2681.789542	324.377146
5.037994	3014.453516	2687.412396	327.041119
5.055367	3022.414231	2692.704562	329.709669
5.072739	3030.046590	2697.664039	332.382551
5.090111	3037.348472	2702.288953	335.059519
5.107484	3044.317877	2706.577553	337.740323
5.124856	3050.952927	2710.528214	340.424713
5.142229	3057.251869	2714.139436	343.112433
5.159601	3063.213075	2717.409848	345.803227
5.176973	3068.835043	2720.338208	348.496835
5.194346	3074.116397	2722.923401	351.192996
5.211718	3079.055889	2725.164444	353.891445
5.229090	3083.652398	2727.060482	356.591916
5.246463	3087.904934	2728.610795	359.294139
5.263835	3091.812633	2729.814790	361.997843
5.281208	3095.374763	2730.672008	364.702755
5.298580	3098.590721	2731.182124	367.408598
5.315952	3101.460035	2731.344941	370.115094
5.333325	3103.982361	2731.160398	372.821963
5.350697	3106.157489	2730.628565	375.528924
5.368070	3107.985336	2729.749646	378.235690
5.385442	3109.465951	2728.523974	380.941976
5.402814	3110.599513	2726.952019	383.647494
5.420187	3111.386331	2725.034379	386.351952
5.437559	3111.826843	2722.771784	389.055059
5.454932	3111.921617	2720.165096	391.756521
5.472304	3111.671349	2717.215308	394.456041
5.489676	3111.076864	2713.923541	397.153322
5.507049	3110.139112	2710.291047	399.848065
5.524421	3108.859172	2706.319204	402.539968
5.541794	3107.238249	2702.009519	405.228730
5.559166	3105.277671	2697.363626	407.914045
5.576538	3102.978892	2692.383284	410.595608
5.593911	3100.343488	2687.070375	413.273113
5.611283	3097.373156	2681.426905	415.946251
5.628656	3094.069716	2675.455004	418.614712
5.646028	3090.435104	2669.156919	421.278185
5.663400	3086.471377	2662.535018	423.936359
5.680773	3082.180706	2655.591787	426.588919
5.698145	3077.565379	2648.329827	429.235552
5.715518	3072.627797	2640.751855	431.875942
5.732890	3067.370472	2632.860700	434.509773
5.750262	3061.796027	2624.659300	437.136727
5.767635	3055.907193	2616.150707	439.756486
5.785007	3049.706807	2607.338075	442.368733
5.802379	3043.197812	2598.224666	444.973146
5.819752	3036.383253	2588.813847	447.569406
5.837124	3029.266275	2579.109083	450.157191
5.854497	3021.850122	2569.113940	452.736182
5.871869	3014.138136	2558.832081	455.306054
5.889241	3006.133751	2548.267263	457.866488
5.906614	2997.840494	2537.423335	460.417159
5.923986	2989.261984	2526.304239	462.957745
5.941359	2980.401924	2514.914000	465.487924
5.958731	2971.264104	2503.256733	468.007371
5.976103	2961.852398	2491.336633	470.515765
5.993476	2952.170757	2479.157977	473.012780
6.010848	2942.223213	2466.725118	475.498096
6.028221	2932.013872	2454.042485	477.971387
6.045593	2921.546912	2441.114580	480.432332
6.062965	2910.826583	2427.945974	482.880609
6.080338	2899.857202	2414.541307	485.315894
6.097710	2888.643149	2400.905282	487.737867
6.115083	2877.188869	2387.042663	490.146206
6.132455	2865.498865	2372.958275	492.540590
6.149827	2853.577697	2358.656997	494.920699
6.167200	2841.429979	2344.143764	497.286215
6.184572	2829.060377	2329.423560	499.636817
