time_s,n_afm_scans,afm_sources,coverage_fraction,coverage_fraction_std,effe_proxy,effe_proxy_name,effe_proxy_formula,afm_Rave_nm,afm_Rave_nm_std,radius_proxy_name,distribution_type,distribution_axis_name,distribution_fit_status,distribution_fit_path,distribution_log_likelihood,distribution_bic,distribution_fit_converged,distribution_fit_iterations,distribution_sample_count,mixture_weight_1,muL1,sigL1,component_1_mean_nm,component_1_std_nm,mixture_weight_2,muL2,sigL2,component_2_mean_nm,component_2_std_nm,distribution_mean_nm,distribution_std_nm,equivalent_thickness_nm,equivalent_thickness_nm_std,number_density_per_um2,number_density_per_um2_std,mean_island_height_nm,mean_island_height_nm_std,n_lambda,lamin_nm,lamax_nm,dlam_nm,lambda_grid_is_uniform,transmittance_dat,transmittance_label
10,2,001;003,0.444091796875,0.01153564453125,0.4699670443913271,hybrid_alpha75,coverage_fraction^0.75*(equivalent_thickness_nm/mean_island_height_nm)^0.25,12.43292387280022,3.4158551397124377,volume_equivalent_radius_nm,two_lognormal,volume_equivalent_radius_nm,ok,afm_raw_radii,-303.07584575072815,636.2202672816703,1,117,409,0.38457363707936604,1.8529645147286666,0.19737974904358296,6.504172521859843,1.2963977583901387,0.615426362920634,2.608489146088013,0.5109576827449507,15.471939414166627,8.450690752491314,12.023172683912284,7.976856662547944,1.4449407893080555,0.7306411468107707,51.125,4.625,2.5941715058538377,1.2594867619738315,167,300.0,798.0,3.0,1,data/experimental/final/transmittance/ITO_Ag_10s_T_0.dat,ITO_Ag_10s_T
20,2,001;003,0.44597625732421875,0.00968170166015625,0.4605063198592953,hybrid_alpha75,coverage_fraction^0.75*(equivalent_thickness_nm/mean_island_height_nm)^0.25,13.050467590762029,1.5011134263959836,volume_equivalent_radius_nm,two_lognormal,volume_equivalent_radius_nm,ok,afm_raw_radii,-284.66330360835786,599.1573409123342,1,188,390,0.42141695866212087,1.9747761548234821,0.24003448888027415,7.415589198246087,1.8059469264990384,0.5785830413378792,2.6952041263188664,0.4861885909784661,16.66638471167904,8.606291260848174,12.767942601202932,8.068141097041101,1.196766721733101,0.16108080313796824,48.75,8.0,2.360490958048979,0.13970983137055537,167,300.0,798.0,3.0,1,data/experimental/final/transmittance/ITO_Ag_20s_T_0.dat,ITO_Ag_20s_T
30,2,001;003,0.44724273681640625,0.00621795654296875,0.47075111413135173,hybrid_alpha75,coverage_fraction^0.75*(equivalent_thickness_nm/mean_island_height_nm)^0.25,10.481295017575926,2.0212514768746637,volume_equivalent_radius_nm,two_lognormal,volume_equivalent_radius_nm,ok,afm_raw_radii,-326.45258751763606,683.3503994125064,1,268,441,0.6103536451568394,1.8780783091143656,0.2998059682558726,6.841589710287531,2.098115455192106,0.38964635484316057,2.659351787146181,0.5019538912156905,16.205175096067492,8.674562672519619,10.490076624119382,7.2703793759473,0.8502681302059514,0.3854929490821828,55.125,0.375,1.5488892449261253,0.7030477304525993,167,300.0,798.0,3.0,1,data/experimental/final/transmittance/ITO_Ag_30s_T_0.dat,ITO_Ag_30s_T
40,2,001;003,0.47857666015625,0.0242156982421875,0.5114409156379377,hybrid_alpha75,coverage_fraction^0.75*(equivalent_thickness_nm/mean_island_height_nm)^0.25,17.52732254324156,3.4208887796907668,volume_equivalent_radius_nm,two_lognormal,volume_equivalent_radius_nm,ok,afm_raw_radii,-221.166660051063,470.17504262093144,1,423,262,0.8125958033857287,2.4520814769163666,0.4239677519373823,12.704494192074096,5.63765398923489,0.18740419661427132,3.389858497859524,0.6286487892840579,36.142091223163106,25.16175061253599,17.09679823425436,15.103897800368369,4.149837353300357,2.305555099198166,32.75,4.0,6.648194908706704,3.989727463721386,167,300.0,798.0,3.0,1,data/experimental/final/transmittance/ITO_Ag_40s_T_0.dat,ITO_Ag_40s_T
50,2,001;003,0.45145416259765625,0.00580596923828125,0.5271326278204379,hybrid_alpha75,coverage_fraction^0.75*(equivalent_thickness_nm/mean_island_height_nm)^0.25,10.255995480721271,2.620893801891328,volume_equivalent_radius_nm,two_lognormal,volume_equivalent_radius_nm,ok,afm_raw_radii,-266.75959047117817,561.9709782139767,1,344,296,0.7955613747692393,1.8401739231388228,0.4058595405467593,6.838270894432428,2.8936897257372634,0.20443862523076073,3.0099803673207086,0.6151324252728958,24.512282479719374,16.62375831159072,10.451521525241029,10.67535096583102,1.4408216496313182,0.9707339364074645,37.0,2.75,1.71700522537999,1.0626747332060964,167,300.0,798.0,3.0,1,data/experimental/final/transmittance/ITO_Ag_50s_T_0.dat,ITO_Ag_50s_T
60,2,001;003,0.45058441162109375,0.02631378173828125,0.518794767973955,hybrid_alpha75,coverage_fraction^0.75*(equivalent_thickness_nm/mean_island_height_nm)^0.25,12.684245724571689,3.729861721437196,volume_equivalent_radius_nm,two_lognormal,volume_equivalent_radius_nm,ok,afm_raw_radii,-267.92758248718945,564.6338760423134,1,181,316,0.6894583888989428,1.982745547713765,0.36475704358288424,7.762227935941468,2.9281659550541765,0.31054161110105716,2.8541251290756295,0.6230575750872113,21.077908468997702,14.516631367646143,11.897300821583734,10.45539297645639,1.618667501742421,1.1264854672944404,39.5,8.0,2.0441077534541625,1.1834378696737367,217,200.0,848.0,3.0,1,data/experimental/final/transmittance/ITO_Ag_60s_T_0.dat,ITO_Ag_60s
