# time_s n_afm_scans coverage coverage_std effe_proxy effe_proxy_name effe_proxy_formula afm_Rave_nm afm_Rave_nm_std radius_proxy_name dist_type axis_name fit_status fit_path log_likelihood bic fit_converged fit_iterations fit_samples w1 muL1 sigL1 mean1_nm std1_nm w2 muL2 sigL2 mean2_nm std2_nm dist_mean_nm dist_std_nm eq_thickness_nm eq_thickness_nm_std density_um2 density_um2_std mean_height_nm mean_height_nm_std n_lambda lamin_nm lamax_nm dlam_nm lambda_grid_is_uniform transmittance_label transmittance_dat afm_sources Rave_equivalent_radius_nm Rave_volume_equivalent_radius_nm Rave_height_equivalent_radius_mean_nm Rave_height_equivalent_radius_p95_nm
10 2 0.4440917969 0.01153564453 0.4699670444 hybrid_alpha75 coverage_fraction^0.75*(equivalent_thickness_nm/mean_island_height_nm)^0.25 2.066481606 1.106150999 height_equivalent_radius_p95_nm two_lognormal height_equivalent_radius_p95_nm ok afm_raw_radii -367.1573299 764.3832356 1 208 409 0.7200095735 0.05267871205 0.3864165919 1.135800403 0.4557969839 0.2799904265 1.371891823 0.2749156105 4.094649493 1.147291177 1.964249822 1.510978481 1.444940789 0.7306411468 51.125 4.625 2.594171506 1.259486762 167 300 798 3 1 ITO_Ag_10s_T data/experimental/final/transmittance/ITO_Ag_10s_T_0.dat 001;003 34.54416296 12.43292387 1.297085753 2.066481606
20 2 0.4459762573 0.00968170166 0.4605063199 hybrid_alpha75 coverage_fraction^0.75*(equivalent_thickness_nm/mean_island_height_nm)^0.25 1.975737415 0.01057769785 height_equivalent_radius_p95_nm two_lognormal height_equivalent_radius_p95_nm ok afm_raw_radii -251.8224026 533.4755389 1 475 390 0.3606755135 0.08031484725 0.2343401814 1.113794337 0.2646314199 0.6393244865 0.8395805072 0.3499508053 2.461604296 0.8885000338 1.975482247 0.9740877419 1.196766722 0.1610808031 48.75 8 2.360490958 0.1397098314 167 300 798 3 1 ITO_Ag_20s_T data/experimental/final/transmittance/ITO_Ag_20s_T_0.dat 001;003 38.66475282 13.05046759 1.180245479 1.975737415
30 2 0.4472427368 0.006217956543 0.4707511141 hybrid_alpha75 coverage_fraction^0.75*(equivalent_thickness_nm/mean_island_height_nm)^0.25 1.292258075 0.5698880511 height_equivalent_radius_p95_nm two_lognormal height_equivalent_radius_p95_nm ok afm_raw_radii -424.9553678 880.3559599 1 143 441 0.1141914334 -0.9204001078 0.1345782755 0.4019834133 0.05434410881 0.8858085666 0.1638160955 0.5935987858 1.404941767 0.9131254895 1.290412515 0.9168827147 0.8502681302 0.3854929491 55.125 0.375 1.548889245 0.7030477305 167 300 798 3 1 ITO_Ag_30s_T data/experimental/final/transmittance/ITO_Ag_30s_T_0.dat 001;003 35.23201686 10.48129502 0.7744446225 1.292258075
40 2 0.4785766602 0.02421569824 0.5114409156 hybrid_alpha75 coverage_fraction^0.75*(equivalent_thickness_nm/mean_island_height_nm)^0.25 5.279475826 3.141575281 height_equivalent_radius_p95_nm two_lognormal height_equivalent_radius_p95_nm ok afm_raw_radii -285.3648033 598.5713292 1 36 262 0.528487773 0.4820838475 0.4292415825 1.775723624 0.7987092827 0.471512227 2.073942824 0.3304011086 8.402466304 2.853701311 4.900313823 3.888411656 4.149837353 2.305555099 32.75 4 6.648194909 3.989727464 167 300 798 3 1 ITO_Ag_40s_T data/experimental/final/transmittance/ITO_Ag_40s_T_0.dat 001;003 39.72426337 17.52732254 3.324097454 5.279475826
50 2 0.4514541626 0.005805969238 0.5271326278 hybrid_alpha75 coverage_fraction^0.75*(equivalent_thickness_nm/mean_island_height_nm)^0.25 1.423092445 0.9017022608 height_equivalent_radius_p95_nm two_lognormal height_equivalent_radius_p95_nm ok afm_raw_radii -362.6264516 753.7047004 1 29 296 0.331606607 -1.263773031 0.2100028444 0.2888862017 0.0613419813 0.668393393 0.4031122671 0.7431754372 1.972431671 1.693606826 1.41415687 1.595811247 1.44082165 0.9707339364 37 2.75 1.717005225 1.062674733 167 300 798 3 1 ITO_Ag_50s_T data/experimental/final/transmittance/ITO_Ag_50s_T_0.dat 001;003 33.65586538 10.25599548 0.8585026127 1.423092445
60 2 0.4505844116 0.02631378174 0.518794768 hybrid_alpha75 coverage_fraction^0.75*(equivalent_thickness_nm/mean_island_height_nm)^0.25 1.630748163 1.013559571 height_equivalent_radius_p95_nm two_lognormal height_equivalent_radius_p95_nm ok afm_raw_radii -321.9976898 672.7740907 1 53 316 0.3927651385 -0.7192366529 0.1988895406 0.4968544623 0.09980450586 0.6072348615 0.4168809327 0.7128215763 1.95607171 1.591711708 1.382942046 1.431856467 1.618667502 1.126485467 39.5 8 2.044107753 1.18343787 217 200 848 3 1 ITO_Ag_60s data/experimental/final/transmittance/ITO_Ag_60s_T_0.dat 001;003 40.67881074 12.68424572 1.022053877 1.630748163
