# Z_nm	Fit_totale_conteggi	LogN1_conteggi	LogN2_conteggi
0.212606	0.000065	0.000000	0.000065
0.226446	0.000130	0.000000	0.000130
0.240287	0.000244	0.000000	0.000244
0.254127	0.000438	0.000000	0.000438
0.267967	0.000751	0.000000	0.000751
0.281808	0.001241	0.000000	0.001241
0.295648	0.001981	0.000000	0.001981
0.309489	0.003068	0.000000	0.003068
0.323329	0.004624	0.000000	0.004624
0.337169	0.006797	0.000000	0.006797
0.351010	0.009771	0.000000	0.009771
0.364850	0.013762	0.000000	0.013762
0.378690	0.019024	0.000000	0.019024
0.392531	0.025850	0.000000	0.025850
0.406371	0.034577	0.000000	0.034577
0.420211	0.045582	0.000000	0.045582
0.434052	0.059287	0.000000	0.059287
0.447892	0.076158	0.000000	0.076158
0.461733	0.096704	0.000000	0.096704
0.475573	0.121477	0.000000	0.121477
0.489413	0.151069	0.000000	0.151069
0.503254	0.186114	0.000000	0.186114
0.517094	0.227279	0.000000	0.227279
0.530934	0.275268	0.000000	0.275268
0.544775	0.330816	0.000000	0.330816
0.558615	0.394685	0.000000	0.394685
0.572455	0.467661	0.000000	0.467661
0.586296	0.550550	0.000000	0.550550
0.600136	0.644174	0.000000	0.644174
0.613976	0.749366	0.000000	0.749366
0.627817	0.866968	0.000000	0.866968
0.641657	0.997823	0.000000	0.997823
0.655498	1.142775	0.000000	1.142775
0.669338	1.302661	0.000000	1.302661
0.683178	1.478310	0.000000	1.478310
0.697019	1.670535	0.000000	1.670535
0.710859	1.880135	0.000000	1.880135
0.724699	2.107886	0.000000	2.107886
0.738540	2.354540	0.000000	2.354539
0.752380	2.620821	0.000001	2.620820
0.766220	2.907422	0.000001	2.907421
0.780061	3.215005	0.000002	3.215003
0.793901	3.544192	0.000002	3.544190
0.807742	3.895570	0.000003	3.895567
0.821582	4.269685	0.000004	4.269681
0.835422	4.667040	0.000006	4.667034
0.849263	5.088095	0.000009	5.088086
0.863103	5.533265	0.000012	5.533253
0.876943	6.002919	0.000016	6.002903
0.890784	6.497380	0.000022	6.497358
0.904624	7.016923	0.000030	7.016893
0.918464	7.561777	0.000040	7.561737
0.932305	8.132120	0.000053	8.132067
0.946145	8.728087	0.000070	8.728017
0.959986	9.349762	0.000092	9.349670
0.973826	9.997184	0.000120	9.997063
0.987666	10.670344	0.000156	10.670188
1.001507	11.369190	0.000202	11.368988
1.015347	12.093624	0.000260	12.093364
1.029187	12.843504	0.000332	12.843172
1.043028	13.618646	0.000421	13.618224
1.056868	14.418825	0.000533	14.418292
1.070708	15.243778	0.000670	15.243107
1.084549	16.093201	0.000840	16.092361
1.098389	16.966755	0.001047	16.965708
1.112230	17.864066	0.001299	17.862766
1.126070	18.784726	0.001606	18.783120
1.139910	19.728296	0.001977	19.726319
1.153751	20.694309	0.002424	20.691885
1.167591	21.682267	0.002959	21.679307
1.181431	22.691648	0.003600	22.688048
1.195272	23.721905	0.004363	23.717543
1.209112	24.772472	0.005268	24.767204
1.222952	25.842760	0.006339	25.836421
1.236793	26.932161	0.007601	26.924560
1.250633	28.040055	0.009085	28.030970
1.264474	29.165806	0.010824	29.154982
1.278314	30.308764	0.012854	30.295910
1.292154	31.468271	0.015218	31.453053
1.305995	32.643663	0.017963	32.625700
1.319835	33.834266	0.021142	33.813124
1.333675	35.039405	0.024812	35.014593
1.347516	36.258401	0.029038	36.229363
1.361356	37.490577	0.033893	37.456684
1.375196	38.735256	0.039454	38.695801
1.389037	39.991765	0.045810	39.945956
1.402877	41.259439	0.053055	41.206384
1.416717	42.537618	0.061296	42.476322
1.430558	43.825652	0.070647	43.755005
1.444398	45.122903	0.081233	45.041670
1.458239	46.428746	0.093193	46.335554
1.472079	47.742570	0.106673	47.635897
1.485919	49.063781	0.121837	48.941944
1.499760	50.391803	0.138859	50.252944
1.513600	51.726080	0.157928	51.568153
1.527440	53.066079	0.179249	52.886831
1.541281	54.411289	0.203041	54.208248
1.555121	55.761222	0.229542	55.531680
1.568961	57.115419	0.259005	56.856414
1.582802	58.473448	0.291703	58.181745
1.596642	59.834905	0.327926	59.506979
1.610483	61.199418	0.367985	60.831433
1.624323	62.566646	0.412213	62.154433
1.638163	63.936282	0.460962	63.475321
1.652004	65.308053	0.514606	64.793447
1.665844	66.681722	0.573545	66.108177
1.679684	68.057087	0.638200	67.418888
1.693525	69.433988	0.709017	68.724971
1.707365	70.812300	0.786468	70.025832
1.721205	72.191940	0.871051	71.320889
1.735046	73.572866	0.963289	72.609577
1.748886	74.955077	1.063735	73.891342
1.762727	76.338615	1.172967	75.165648
1.776567	77.723566	1.291595	76.431971
1.790407	79.110059	1.420254	77.689805
1.804248	80.498269	1.559612	78.938657
