DIAGNOSTICA FIT (2 LOGNORMALI, curve_fit con pesi Poisson)

chi2     = 497.8346168383
ndof     = 112
chi2_red = 4.4449519361

PARAMETRI (ordine):
N, w, muL1, sigL1, muL2, sigL2

COVARIANZA (pcov):
	N	w	muL1	sigL1	muL2	sigL2
N	6.5529983943e+04	5.2080965570e-02	2.6333182143e-03	8.7482337680e-03	1.6898987183e-02	2.2802758041e-02
w	5.2080965570e-02	6.5713667667e-05	3.3047949629e-06	1.1540742173e-05	1.1561035387e-05	1.4830579996e-05
muL1	2.6333182143e-03	3.3047949629e-06	2.2987222784e-06	6.8658074670e-07	-5.1239937879e-07	1.1791976704e-06
sigL1	8.7482337680e-03	1.1540742173e-05	6.8658074670e-07	3.3210567786e-06	2.1212917714e-06	2.4667231093e-06
muL2	1.6898987183e-02	1.1561035387e-05	-5.1239937879e-07	2.1212917714e-06	7.0915980301e-06	2.6059373644e-06
sigL2	2.2802758041e-02	1.4830579996e-05	1.1791976704e-06	2.4667231093e-06	2.6059373644e-06	6.1814703797e-06

CORRELAZIONE:
	N	w	muL1	sigL1	muL2	sigL2
N	1.000000	0.025098	0.006785	0.018753	0.024790	0.035828
w	0.025098	1.000000	0.268889	0.781210	0.535546	0.735842
muL1	0.006785	0.268889	1.000000	0.248491	-0.126909	0.312822
sigL1	0.018753	0.781210	0.248491	1.000000	0.437109	0.544423
muL2	0.024790	0.535546	-0.126909	0.437109	1.000000	0.393592
sigL2	0.035828	0.735842	0.312822	0.544423	0.393592	1.000000
