# Z_nm	Fit_totale_conteggi	Gauss1_conteggi	Gauss2_conteggi
0.000000	3.841531	0.002658	3.838873
0.026742	3.900761	0.002841	3.897921
0.053485	3.960810	0.003036	3.957774
0.080227	4.021688	0.003244	4.018443
0.106969	4.083404	0.003466	4.079938
0.133712	4.145968	0.003702	4.142266
0.160454	4.209393	0.003954	4.205438
0.187197	4.273687	0.004223	4.269464
0.213939	4.338861	0.004509	4.334353
0.240681	4.404927	0.004813	4.400114
0.267424	4.471896	0.005137	4.466759
0.294166	4.539777	0.005482	4.534295
0.320908	4.608584	0.005850	4.602735
0.347651	4.678327	0.006240	4.672087
0.374393	4.749018	0.006656	4.742361
0.401136	4.820668	0.007099	4.813569
0.427878	4.893290	0.007570	4.885720
0.454620	4.966895	0.008070	4.958825
0.481363	5.041497	0.008603	5.032894
0.508105	5.117106	0.009169	5.107938
0.534847	5.193737	0.009770	5.183967
0.561590	5.271402	0.010410	5.260992
0.588332	5.350113	0.011089	5.339024
0.615074	5.429885	0.011811	5.418074
0.641817	5.510730	0.012578	5.498152
0.668559	5.592663	0.013393	5.579271
0.695302	5.675698	0.014258	5.661440
0.722044	5.759848	0.015176	5.744671
0.748786	5.845127	0.016151	5.828976
0.775529	5.931552	0.017186	5.914366
0.802271	6.019136	0.018284	6.000852
0.829013	6.107895	0.019449	6.088446
0.855756	6.197844	0.020685	6.177159
0.882498	6.288999	0.021996	6.267003
0.909241	6.381377	0.023386	6.357991
0.935983	6.474993	0.024860	6.450133
0.962725	6.569865	0.026423	6.543442
0.989468	6.666009	0.028079	6.637929
1.016210	6.763442	0.029835	6.733608
1.042952	6.862184	0.031695	6.830490
1.069695	6.962252	0.033665	6.928587
1.096437	7.063664	0.035752	7.027911
1.123179	7.166439	0.037963	7.128476
1.149922	7.270597	0.040303	7.230294
1.176664	7.376158	0.042781	7.333377
1.203407	7.483142	0.045404	7.437738
1.230149	7.591570	0.048180	7.543390
1.256891	7.701463	0.051118	7.650346
1.283634	7.812843	0.054225	7.758618
1.310376	7.925732	0.057513	7.868219
1.337118	8.040153	0.060989	7.979164
1.363861	8.156130	0.064666	8.091464
1.390603	8.273686	0.068553	8.205133
1.417346	8.392846	0.072661	8.320185
1.444088	8.513637	0.077004	8.436633
1.470830	8.636082	0.081593	8.554490
1.497573	8.760211	0.086441	8.673770
1.524315	8.886049	0.091562	8.794486
1.551057	9.013625	0.096971	8.916653
1.577800	9.142968	0.102684	9.040284
1.604542	9.274108	0.108714	9.165393
1.631284	9.407075	0.115081	9.291994
1.658027	9.541902	0.121801	9.420101
1.684769	9.678620	0.128892	9.549728
1.711512	9.817263	0.136373	9.680890
1.738254	9.957866	0.144266	9.813600
1.764996	10.100464	0.152591	9.947873
1.791739	10.245093	0.161370	10.083723
1.818481	10.391791	0.170626	10.221165
1.845223	10.540598	0.180384	10.360214
1.871966	10.691553	0.190669	10.500883
1.898708	10.844697	0.201508	10.643189
1.925451	11.000073	0.212929	10.787145
1.952193	11.157726	0.224960	10.932766
1.978935	11.317701	0.237633	11.080068
2.005678	11.480043	0.250979	11.229065
