FIT CON SOMMA DI DUE GAUSSIANE

Parametri (ordine):
N, w, mu1, sigma1, mu2, sigma2

MATRICE DI COVARIANZA:
	N	w	mu1	sigma1	mu2	sigma2
N	6.4596576161e+04	-1.1443335561e-03	8.7283313044e-03	-1.7581259484e-03	-2.3697277797e-02	9.9294427669e-02
w	-1.1443335561e-03	1.7624377280e-05	1.6415499713e-05	2.9428964391e-05	2.3268393745e-04	2.7363738522e-05
mu1	8.7283313044e-03	1.6415499713e-05	1.5988912991e-04	4.6589016384e-05	1.4980727311e-04	1.4881826084e-04
sigma1	-1.7581259484e-03	2.9428964391e-05	4.6589016384e-05	1.4203446153e-04	4.3931632870e-04	4.9237183687e-05
mu2	-2.3697277797e-02	2.3268393745e-04	1.4980727311e-04	4.3931632870e-04	5.6532522679e-03	3.3690497561e-04
sigma2	9.9294427669e-02	2.7363738522e-05	1.4881826084e-04	4.9237183687e-05	3.3690497561e-04	1.3375019074e-03

MATRICE DI CORRELAZIONE:
	N	w	mu1	sigma1	mu2	sigma2
N	1.000000	-0.001072	0.002716	-0.000580	-0.001240	0.010683
w	-0.001072	1.000000	0.309234	0.588195	0.737158	0.178226
mu1	0.002716	0.309234	1.000000	0.309156	0.157570	0.321810
sigma1	-0.000580	0.588195	0.309156	1.000000	0.490265	0.112966
mu2	-0.001240	0.737158	0.157570	0.490265	1.000000	0.122521
sigma2	0.010683	0.178226	0.321810	0.112966	0.122521	1.000000
