# Z_nm	Fit_totale_conteggi	LogN1_conteggi	LogN2_conteggi
0.007344	0.000000	0.000000	0.000000
0.034081	0.000000	0.000000	0.000000
0.060817	0.000000	0.000000	0.000000
0.087553	0.000000	0.000000	0.000000
0.114289	0.000000	0.000000	0.000000
0.141026	0.000000	0.000000	0.000000
0.167762	0.000000	0.000000	0.000000
0.194498	0.000000	0.000000	0.000000
0.221234	0.000000	0.000000	0.000000
0.247971	0.000000	0.000000	0.000000
0.274707	0.000000	0.000000	0.000000
0.301443	0.000000	0.000000	0.000000
0.328179	0.000000	0.000000	0.000000
0.354916	0.000000	0.000000	0.000000
0.381652	0.000000	0.000000	0.000000
0.408388	0.000000	0.000000	0.000000
0.435124	0.000000	0.000000	0.000000
0.461861	0.000000	0.000000	0.000000
0.488597	0.000000	0.000000	0.000000
0.515333	0.000000	0.000000	0.000000
0.542069	0.000000	0.000000	0.000000
0.568805	0.000000	0.000000	0.000000
0.595542	0.000000	0.000000	0.000000
0.622278	0.000000	0.000000	0.000000
0.649014	0.000000	0.000000	0.000000
0.675750	0.000000	0.000000	0.000000
0.702487	0.000000	0.000000	0.000000
0.729223	0.000000	0.000000	0.000000
0.755959	0.000000	0.000000	0.000000
0.782695	0.000000	0.000000	0.000000
0.809432	0.000000	0.000000	0.000000
0.836168	0.000000	0.000000	0.000000
0.862904	0.000000	0.000000	0.000000
0.889640	0.000000	0.000000	0.000000
0.916377	0.000000	0.000000	0.000000
0.943113	0.000000	0.000000	0.000000
0.969849	0.000001	0.000000	0.000001
0.996585	0.000001	0.000000	0.000001
1.023322	0.000001	0.000000	0.000001
1.050058	0.000002	0.000000	0.000002
1.076794	0.000004	0.000000	0.000004
1.103530	0.000005	0.000000	0.000005
1.130267	0.000008	0.000000	0.000008
1.157003	0.000012	0.000000	0.000012
1.183739	0.000017	0.000000	0.000017
1.210475	0.000024	0.000000	0.000024
1.237212	0.000034	0.000000	0.000034
1.263948	0.000047	0.000000	0.000047
1.290684	0.000065	0.000000	0.000065
1.317420	0.000089	0.000000	0.000089
1.344157	0.000121	0.000000	0.000121
1.370893	0.000163	0.000000	0.000163
1.397629	0.000218	0.000000	0.000218
1.424365	0.000289	0.000000	0.000289
1.451102	0.000379	0.000000	0.000379
1.477838	0.000495	0.000000	0.000495
1.504574	0.000640	0.000000	0.000640
1.531310	0.000823	0.000000	0.000823
1.558046	0.001052	0.000000	0.001052
1.584783	0.001335	0.000000	0.001335
1.611519	0.001684	0.000000	0.001684
1.638255	0.002113	0.000000	0.002113
1.664991	0.002636	0.000000	0.002636
1.691728	0.003271	0.000000	0.003271
1.718464	0.004038	0.000000	0.004038
1.745200	0.004959	0.000000	0.004959
1.771936	0.006062	0.000000	0.006062
1.798673	0.007376	0.000000	0.007376
1.825409	0.008934	0.000000	0.008934
1.852145	0.010774	0.000000	0.010774
1.878881	0.012939	0.000000	0.012939
1.905618	0.015477	0.000000	0.015477
1.932354	0.018440	0.000000	0.018440
1.959090	0.021887	0.000000	0.021887
1.985826	0.025883	0.000000	0.025883
2.012563	0.030501	0.000000	0.030501
2.039299	0.035820	0.000000	0.035820
2.066035	0.041925	0.000000	0.041925
2.092771	0.048914	0.000000	0.048914
2.119508	0.056888	0.000000	0.056888
2.146244	0.065962	0.000000	0.065962
2.172980	0.076258	0.000000	0.076258
2.199716	0.087908	0.000000	0.087908
2.226453	0.101057	0.000000	0.101057
2.253189	0.115859	0.000000	0.115859
2.279925	0.132480	0.000000	0.132480
2.306661	0.151099	0.000000	0.151099
2.333398	0.171907	0.000000	0.171907
2.360134	0.195109	0.000000	0.195109
2.386870	0.220922	0.000000	0.220922
2.413606	0.249578	0.000000	0.249578
2.440343	0.281324	0.000000	0.281324
2.467079	0.316419	0.000000	0.316419
2.493815	0.355141	0.000000	0.355141
2.520551	0.397782	0.000000	0.397782
2.547287	0.444648	0.000000	0.444648
2.574024	0.496063	0.000000	0.496063
2.600760	0.552368	0.000000	0.552368
2.627496	0.613920	0.000000	0.613920
2.654232	0.681092	0.000000	0.681092
2.680969	0.754274	0.000000	0.754274
2.707705	0.833876	0.000000	0.833876
2.734441	0.920322	0.000000	0.920322
2.761177	1.014055	0.000000	1.014055
2.787914	1.115536	0.000000	1.115536
2.814650	1.225242	0.000000	1.225242
2.841386	1.343668	0.000000	1.343668
2.868122	1.471326	0.000000	1.471326
2.894859	1.608748	0.000000	1.608748
2.921595	1.756478	0.000000	1.756478
2.948331	1.915082	0.000000	1.915082
2.975067	2.085140	0.000000	2.085140
3.001804	2.267249	0.000000	2.267249
3.028540	2.462022	0.000000	2.462022
3.055276	2.670087	0.000000	2.670087
3.082012	2.892090	0.000000	2.892090
3.108749	3.128690	0.000000	3.128690
3.135485	3.380561	0.000000	3.380561
3.162221	3.648391	0.000000	3.648391
3.188957	3.932882	0.000000	3.932882
3.215694	4.234749	0.000000	4.234749
3.242430	4.554719	0.000000	4.554719
3.269166	4.893532	0.000000	4.893532
3.295902	5.251937	0.000000	5.251937
3.322639	5.630697	0.000000	5.630697
3.349375	6.030582	0.000000	6.030582
3.376111	6.452373	0.000000	6.452373
3.402847	6.896858	0.000000	6.896858
3.429584	7.364833	0.000000	7.364833
3.456320	7.857102	0.000000	7.857102
3.483056	8.374475	0.000000	8.374475
3.509792	8.917766	0.000000	8.917766
3.536528	9.487794	0.000000	9.487794
