DIAGNOSTICA FIT (2 LOGNORMALI, curve_fit con pesi Poisson)

chi2     = 818.7945001127
ndof     = 129
chi2_red = 6.3472441869

PARAMETRI (ordine):
N, w, muL1, sigL1, muL2, sigL2

COVARIANZA (pcov):
	N	w	muL1	sigL1	muL2	sigL2
N	6.4833758425e+04	1.4294270922e-02	3.2133517016e-04	1.8939762597e-03	1.4503043543e-02	2.0222050626e-02
w	1.4294270922e-02	2.4971133873e-05	6.9298730172e-07	3.2092582688e-06	1.1776758483e-05	1.7908568935e-05
muL1	3.2133517016e-04	6.9298730172e-07	7.8268591817e-07	1.1445319824e-07	-5.1243103830e-07	7.2317841012e-07
sigL1	1.8939762597e-03	3.2092582688e-06	1.1445319824e-07	9.2086273268e-07	1.5861594638e-06	2.3386321609e-06
muL2	1.4503043543e-02	1.1776758483e-05	-5.1243103830e-07	1.5861594638e-06	2.4105479452e-05	1.0274710218e-05
sigL2	2.0222050626e-02	1.7908568935e-05	7.2317841012e-07	2.3386321609e-06	1.0274710218e-05	2.3336127485e-05

CORRELAZIONE:
	N	w	muL1	sigL1	muL2	sigL2
N	1.000000	0.011234	0.001426	0.007751	0.011601	0.016440
w	0.011234	1.000000	0.156752	0.669250	0.480008	0.741869
muL1	0.001426	0.156752	1.000000	0.134815	-0.117973	0.169214
sigL1	0.007751	0.669250	0.134815	1.000000	0.336660	0.504487
muL2	0.011601	0.480008	-0.117973	0.336660	1.000000	0.433209
sigL2	0.016440	0.741869	0.169214	0.504487	0.433209	1.000000
