# Z_nm	Fit_totale_conteggi	LogN1_conteggi	LogN2_conteggi
0.117448	0.000000	0.000000	0.000000
0.147801	0.000000	0.000000	0.000000
0.178155	0.000000	0.000000	0.000000
0.208508	0.000000	0.000000	0.000000
0.238862	0.000000	0.000000	0.000000
0.269215	0.000000	0.000000	0.000000
0.299569	0.000000	0.000000	0.000000
0.329922	0.000000	0.000000	0.000000
0.360275	0.000000	0.000000	0.000000
0.390629	0.000000	0.000000	0.000000
0.420982	0.000000	0.000000	0.000000
0.451336	0.000000	0.000000	0.000000
0.481689	0.000000	0.000000	0.000000
0.512042	0.000000	0.000000	0.000000
0.542396	0.000001	0.000000	0.000001
0.572749	0.000002	0.000000	0.000002
0.603103	0.000004	0.000000	0.000004
0.633456	0.000007	0.000000	0.000007
0.663810	0.000013	0.000000	0.000013
0.694163	0.000024	0.000000	0.000024
0.724516	0.000041	0.000000	0.000041
0.754870	0.000069	0.000000	0.000069
0.785223	0.000112	0.000000	0.000112
0.815577	0.000178	0.000000	0.000178
0.845930	0.000276	0.000000	0.000276
0.876284	0.000418	0.000000	0.000418
0.906637	0.000621	0.000000	0.000621
0.936990	0.000905	0.000000	0.000905
0.967344	0.001297	0.000000	0.001297
0.997697	0.001830	0.000000	0.001830
1.028051	0.002543	0.000000	0.002543
1.058404	0.003486	0.000000	0.003486
1.088757	0.004716	0.000000	0.004716
1.119111	0.006304	0.000000	0.006304
1.149464	0.008329	0.000000	0.008329
1.179818	0.010889	0.000000	0.010889
1.210171	0.014091	0.000000	0.014091
1.240525	0.018063	0.000000	0.018063
1.270878	0.022948	0.000000	0.022948
1.301231	0.028907	0.000000	0.028907
1.331585	0.036122	0.000000	0.036122
1.361938	0.044797	0.000000	0.044797
1.392292	0.055154	0.000000	0.055154
1.422645	0.067443	0.000000	0.067443
1.452999	0.081934	0.000000	0.081934
1.483352	0.098923	0.000000	0.098923
1.513705	0.118733	0.000000	0.118733
1.544059	0.141710	0.000000	0.141710
1.574412	0.168227	0.000000	0.168227
1.604766	0.198684	0.000000	0.198684
1.635119	0.233508	0.000000	0.233508
1.665472	0.273152	0.000000	0.273152
1.695826	0.318095	0.000000	0.318095
1.726179	0.368843	0.000000	0.368843
1.756533	0.425928	0.000000	0.425928
1.786886	0.489906	0.000000	0.489906
1.817240	0.561358	0.000000	0.561358
1.847593	0.640888	0.000000	0.640888
1.877946	0.729125	0.000000	0.729125
1.908300	0.826717	0.000000	0.826717
1.938653	0.934335	0.000000	0.934335
1.969007	1.052665	0.000000	1.052665
1.999360	1.182416	0.000000	1.182416
2.029714	1.324310	0.000000	1.324310
2.060067	1.479085	0.000000	1.479085
2.090420	1.647492	0.000000	1.647492
2.120774	1.830294	0.000000	1.830294
2.151127	2.028263	0.000000	2.028263
2.181481	2.242180	0.000000	2.242180
2.211834	2.472832	0.000000	2.472832
2.242187	2.721011	0.000000	2.721011
2.272541	2.987510	0.000000	2.987510
2.302894	3.273126	0.000000	3.273126
2.333248	3.578653	0.000000	3.578653
2.363601	3.904882	0.000000	3.904882
2.393955	4.252599	0.000000	4.252599
2.424308	4.622586	0.000000	4.622586
2.454661	5.015615	0.000000	5.015615
2.485015	5.432449	0.000000	5.432449
2.515368	5.873838	0.000000	5.873838
2.545722	6.340521	0.000000	6.340521
2.576075	6.833220	0.000000	6.833220
2.606429	7.352642	0.000000	7.352642
2.636782	7.899475	0.000000	7.899475
2.667135	8.474391	0.000000	8.474391
2.697489	9.078036	0.000000	9.078036
2.727842	9.711039	0.000000	9.711039
2.758196	10.374003	0.000000	10.374003
2.788549	11.067508	0.000000	11.067508
2.818902	11.792108	0.000000	11.792108
2.849256	12.548332	0.000000	12.548332
2.879609	13.336678	0.000000	13.336678
2.909963	14.157621	0.000000	14.157621
2.940316	15.011602	0.000000	15.011602
2.970670	15.899037	0.000000	15.899037
3.001023	16.820308	0.000000	16.820308
3.031376	17.775768	0.000000	17.775768
3.061730	18.765738	0.000000	18.765738
3.092083	19.790508	0.000000	19.790508
3.122437	20.850335	0.000000	20.850334
3.152790	21.945443	0.000000	21.945443
3.183144	23.076027	0.000000	23.076026
3.213497	24.242244	0.000001	24.242244
3.243850	25.444223	0.000001	25.444222
3.274204	26.682057	0.000001	26.682056
3.304557	27.955808	0.000002	27.955807
3.334911	29.265505	0.000003	29.265503
3.365264	30.611145	0.000004	30.611141
3.395617	31.992691	0.000006	31.992686
3.425971	33.410077	0.000008	33.410069
3.456324	34.863202	0.000011	34.863191
3.486678	36.351937	0.000016	36.351921
3.517031	37.876121	0.000022	37.876099
3.547385	39.435563	0.000030	39.435532
3.577738	41.030041	0.000042	41.029999
3.608091	42.659305	0.000057	42.659248
3.638445	44.323078	0.000078	44.323001
3.668798	46.021053	0.000105	46.020948
3.699152	47.752897	0.000142	47.752755
3.729505	49.518250	0.000191	49.518059
3.759859	51.316727	0.000255	51.316473
3.790212	53.147920	0.000338	53.147581
3.820565	55.011394	0.000447	55.010947
3.850919	56.906695	0.000589	56.906106
3.881272	58.833346	0.000772	58.832574
3.911626	60.790850	0.001007	60.789843
3.941979	62.778691	0.001308	62.777383
3.972332	64.796334	0.001691	64.794643
4.002686	66.843232	0.002178	66.841053
4.033039	68.918818	0.002794	68.916024
4.063393	71.022518	0.003570	71.018948
4.093746	73.153742	0.004542	73.149200
4.124100	75.311894	0.005757	75.306137
4.154453	77.496372	0.007270	77.489102
4.184806	79.706569	0.009146	79.697423
4.215160	81.941876	0.011464	81.930413
4.245513	84.201688	0.014317	84.187372
4.275867	86.485404	0.017817	86.467587
4.306220	88.792432	0.022097	88.770335
4.336574	91.122192	0.027311	91.094881
4.366927	93.474123	0.033642	93.440480
4.397280	95.847684	0.041305	95.806379
4.427634	98.242365	0.050551	98.191815
4.457987	100.657687	0.061669	100.596018
4.488341	103.093211	0.074998	103.018212
4.518694	105.548544	0.090930	105.457614
4.549047	108.023350	0.109913	107.913437
4.579401	110.517354	0.132467	110.384887
4.609754	113.030354	0.159186	112.871168
4.640108	115.562227	0.190746	115.371481
4.670461	118.112945	0.227921	117.885024
4.700815	120.682581	0.271588	120.410993
4.731168	123.271326	0.322743	122.948583
4.761521	125.879497	0.382508	125.496989
4.791875	128.507554	0.452148	128.055406
4.822228	131.156114	0.533085	130.623029
4.852582	133.825967	0.626911	133.199055
4.882935	136.518090	0.735406	135.782684
4.913289	139.233670	0.860553	138.373117
4.943642	141.974114	1.004557	140.969558
4.973995	144.741076	1.169861	143.571215
5.004349	147.536470	1.359169	146.177300
5.034702	150.362495	1.575464	148.787031
5.065056	153.221655	1.822027	151.399629
5.095409	156.116780	2.102460	154.014320
5.125762	159.051047	2.420708	156.630339
5.156116	162.028007	2.781081	159.246925
5.186469	165.051601	3.188277	161.863325
5.216823	168.126192	3.647402	164.478790
5.247176	171.256581	4.163996	167.092584
5.277530	174.448031	4.744057	169.703974
5.307883	177.706295	5.394057	172.312238
5.338236	181.037633	6.120972	174.916661
5.368590	184.448837	6.932299	177.516538
5.398943	187.947251	7.836078	180.111173
5.429297	191.540793	8.840916	182.699877
5.459650	195.237972	9.955997	185.281975
5.490004	199.047910	11.191111	187.856798
5.520357	202.980352	12.556662	190.423690
5.550710	207.045688	14.063685	192.982003
5.581064	211.254962	15.723861	195.531101
5.611417	215.619885	17.549527	198.070358
5.641771	220.152841	19.553681	200.599159
5.672124	224.866895	21.749993	203.116902
5.702477	229.775798	24.152805	205.622992
5.732831	234.893983	26.777133	208.116850
5.763184	240.236567	29.638663	210.597904
5.793538	245.819345	32.753747	213.065598
5.823891	251.658778	36.139393	215.519385
5.854245	257.771982	39.813253	217.958729
5.884598	264.176714	43.793605	220.383108
5.914951	270.891349	48.099337	222.792012
5.945305	277.934858	52.749918	225.184940
5.975658	285.326780	57.765375	227.561405
6.006012	293.087190	63.166257	229.920933
6.036365	301.236666	68.973606	232.263060
6.066719	309.796244	75.208909	234.587335
6.097072	318.787382	81.894063	236.893320
6.127425	328.231906	89.051320	239.180586
6.157779	338.151961	96.703242	241.448720
6.188132	348.569959	104.872641	243.697318
6.218486	359.508515	113.582526	245.925989
6.248839	370.990388	122.856034	248.134354
6.279193	383.038416	132.716370	250.322046
6.309546	395.675445	143.186736	252.488709
6.339899	408.924259	154.290259	254.634001
6.370253	422.807506	166.049918	256.757588
6.400606	437.347619	178.488467	258.859152
6.430960	452.566737	191.628354	260.938383
6.461313	468.486629	205.491644	262.994984
6.491666	485.128603	220.099934	265.028670
6.522020	502.513432	235.474266	267.039166
6.552373	520.661260	251.635052	269.026209
6.582727	539.591524	268.601977	270.989547
6.613080	559.322862	286.393923	272.928939
6.643434	579.873034	305.028880	274.844155
6.673787	601.258834	324.523859	276.734975
6.704140	623.496004	344.894813	278.601191
6.734494	646.599157	366.156552	280.442605
6.764847	670.581690	388.322661	282.259029
6.795201	695.455710	411.405425	284.050285
6.825554	721.231955	435.415747	285.816208
6.855908	747.919720	460.363082	287.556638
6.886261	775.526788	486.255358	289.271430
6.916614	804.059363	513.098918	290.960445
6.946968	833.522005	540.898449	292.623556
6.977321	863.917573	569.656928	294.260645
7.007675	895.247169	599.375566	295.871603
7.038028	927.510088	630.053759	297.456329
7.068381	960.703775	661.689042	299.014733
7.098735	994.823784	694.277050	300.546734
7.129088	1029.863741	727.811482	302.052259
7.159442	1065.815320	762.284078	303.531242
7.189795	1102.668219	797.684590	304.983628
7.220149	1140.410139	834.000768	306.409371
7.250502	1179.026779	871.218350	307.808429
7.280855	1218.501827	909.321055	309.180772
7.311209	1258.816964	948.290587	310.526377
7.341562	1299.951869	988.106642	311.845227
7.371916	1341.884235	1028.746920	313.137314
7.402269	1384.589788	1070.187150	314.402638
7.432623	1428.042315	1112.401110	315.641206
7.462976	1472.213695	1155.360665	316.853030
7.493329	1517.073936	1199.035805	318.038131
7.523683	1562.591221	1243.394684	319.196537
7.554036	1608.731958	1288.403677	320.328282
7.584390	1655.460837	1334.027431	321.433406
7.614743	1702.740885	1380.228929	322.511956
7.645096	1750.533540	1426.969553	323.563986
7.675450	1798.798714	1474.209159	324.589555
7.705803	1847.494876	1521.906148	325.588728
7.736157	1896.579126	1570.017550	326.561575
7.766510	1946.007281	1618.499106	327.508175
7.796864	1995.733965	1667.305357	328.428607
7.827217	2045.712696	1716.389735	329.322961
7.857570	2095.895986	1765.704657	330.191329
7.887924	2146.235432	1815.201624	331.033808
7.918277	2196.681820	1864.831319	331.850501
7.948631	2247.185226	1914.543711	332.641516
7.978984	2297.695120	1964.288156	333.406965
8.009338	2348.160470	2014.013506	334.146964
8.039691	2398.529847	2063.668213	334.861635
8.070044	2448.751538	2113.200436	335.551102
8.100398	2498.773646	2162.558150	336.215496
8.130751	2548.544202	2211.689252	336.854950
8.161105	2598.011270	2260.541669	337.469601
8.191458	2647.123056	2309.063465	338.059591
8.221811	2695.828009	2357.202946	338.625063
8.252165	2744.074932	2404.908765	339.166167
8.282518	2791.813078	2452.130024	339.683054
8.312872	2838.992255	2498.816377	340.175878
8.343225	2885.562923	2544.918125	340.644799
8.373579	2931.476292	2590.386316	341.089976
8.403932	2976.684413	2635.172839	341.511574
8.434285	3021.140270	2679.230510	341.909761
8.464639	3064.797869	2722.513165	342.284704
8.494992	3107.612319	2764.975742	342.636577
8.525346	3149.539914	2806.574360	342.965554
8.555699	3190.538212	2847.266401	343.271811
8.586053	3230.566106	2887.010576	343.555529
8.616406	3269.583889	2925.767001	343.816889
8.646759	3307.553329	2963.497255	344.056073
8.677113	3344.437716	3000.164448	344.273268
8.707466	3380.201932	3035.733270	344.468661
8.737820	3414.812490	3070.170049	344.642441
8.768173	3448.237589	3103.442791	344.794799
8.798526	3480.447156	3135.521230	344.925926
8.828880	3511.412879	3166.376860	345.036018
8.859233	3541.108244	3195.982975	345.125269
8.889587	3569.508565	3224.314688	345.193876
8.919940	3596.591003	3251.348966	345.242037
8.950294	3622.334593	3277.064642	345.269951
8.980647	3646.720250	3301.442433	345.277817
9.011000	3669.730788	3324.464949	345.265838
9.041354	3691.350919	3346.116704	345.234216
9.071707	3711.567262	3366.384110	345.183152
9.102061	3730.368334	3385.255483	345.112851
9.132414	3747.744549	3402.721031	345.023517
9.162768	3763.688203	3418.772847	344.915356
9.193121	3778.193463	3433.404891	344.788572
9.223474	3791.256349	3446.612977	344.643372
9.253828	3802.874710	3458.394748	344.479962
9.284181	3813.048201	3468.749651	344.298549
9.314535	3821.778253	3477.678913	344.099340
9.344888	3829.068045	3485.185501	343.882543
9.375241	3834.922465	3491.274099	343.648365
9.405595	3839.348075	3495.951061	343.397014
9.435948	3842.353074	3499.224377	343.128697
9.466302	3843.947248	3501.103627	342.843622
9.496655	3844.141935	3501.599939	342.541996
9.527009	3842.949970	3500.725942	342.224027
9.557362	3840.385641	3498.495718	341.889923
9.587715	3836.464637	3494.924746	341.539891
9.618069	3831.203996	3490.029860	341.174136
9.648422	3824.622053	3483.829186	340.792867
9.678776	3816.738381	3476.342093	340.396288
9.709129	3807.573740	3467.589134	339.984606
9.739483	3797.150019	3457.591993	339.558026
9.769836	3785.490176	3446.373423	339.116753
9.800189	3772.618182	3433.957191	338.660991
9.830543	3758.558962	3420.368019	338.190943
9.860896	3743.338338	3405.631524	337.706813
9.891250	3726.982965	3389.774161	337.208804
9.921603	3709.520277	3372.823161	336.697116
9.951956	3690.978426	3354.806475	336.171951
9.982310	3671.386224	3335.752715	335.633509
10.012663	3650.773083	3315.691094	335.081989
10.043017	3629.168960	3294.651370	334.517590
10.073370	3606.604298	3272.663788	333.940510
10.103724	3583.109969	3249.759024	333.350945
10.134077	3558.717222	3225.968130	332.749092
10.164430	3533.457624	3201.322479	332.135145
10.194784	3507.363008	3175.853710	331.509298
10.225137	3480.465422	3149.593678	330.871744
10.255491	3452.797076	3122.574401	330.222675
10.285844	3424.390293	3094.828010	329.562283
10.316198	3395.277457	3066.386702	328.890755
10.346551	3365.490973	3037.282690	328.208283
10.376904	3335.063211	3007.548159	327.515052
10.407258	3304.026470	2977.215221	326.811249
10.437611	3272.412932	2946.315872	326.097060
10.467965	3240.254619	2914.881950	325.372669
10.498318	3207.583355	2882.945097	324.638258
10.528671	3174.430728	2850.536719	323.894009
10.559025	3140.828053	2817.687951	323.140102
10.589378	3106.806336	2784.429619	322.376717
10.619732	3072.396243	2750.792211	321.604031
10.650085	3037.628067	2716.805845	320.822222
10.680439	3002.531698	2682.500234	320.031463
10.710792	2967.136596	2647.904666	319.231930
10.741145	2931.471763	2613.047968	318.423795
10.771499	2895.565719	2577.958490	317.607229
10.801852	2859.446479	2542.664078	316.782401
10.832206	2823.141532	2507.192050	315.949482
10.862559	2786.677818	2471.569180	315.108638
10.892913	2750.081713	2435.821679	314.260034
10.923266	2713.379011	2399.975176	313.403836
10.953619	2676.594909	2364.054704	312.540206
10.983973	2639.753993	2328.084687	311.669306
11.014326	2602.880223	2292.088927	310.791296
11.044680	2565.996930	2256.090594	309.906336
11.075033	2529.126797	2220.112215	309.014582
11.105386	2492.291857	2184.175666	308.116191
11.135740	2455.513485	2148.302168	307.211317
11.166093	2418.812391	2112.512277	306.300113
11.196447	2382.208618	2076.825886	305.382732
11.226800	2345.721538	2041.262215	304.459323
11.257154	2309.369851	2005.839815	303.530035
11.287507	2273.171580	1970.576563	302.595016
11.317860	2237.144079	1935.489667	301.654412
11.348214	2201.304028	1900.595660	300.708367
11.378567	2165.667437	1865.910413	299.757024
11.408921	2130.249653	1831.449127	298.800525
11.439274	2095.065357	1797.226347	297.839010
11.469628	2060.128576	1763.255958	296.872618
11.499981	2025.452685	1729.551199	295.901486
11.530334	1991.050415	1696.124666	294.925749
11.560688	1956.933859	1662.988316	293.945543
11.591041	1923.114482	1630.153482	292.961000
11.621395	1889.603127	1597.630876	291.972252
11.651748	1856.410028	1565.430600	290.979428
11.682101	1823.544816	1533.562159	289.982658
11.712455	1791.016531	1502.034463	288.982068
11.742808	1758.833631	1470.855847	287.977784
11.773162	1727.004007	1440.034076	286.969932
11.803515	1695.534992	1409.576359	285.958632
11.833869	1664.433369	1379.489361	284.944008
11.864222	1633.705393	1349.779214	283.926179
11.894575	1603.356793	1320.451529	282.905264
11.924929	1573.392790	1291.511410	281.881380
11.955282	1543.818112	1262.963469	280.854643
11.985636	1514.637001	1234.811834	279.825167
12.015989	1485.853231	1207.060166	278.793066
12.046343	1457.470120	1179.711669	277.758451
12.076696	1429.490543	1152.769110	276.721432
12.107049	1401.916944	1126.234825	275.682119
12.137403	1374.751356	1100.110736	274.640620
12.167756	1347.995404	1074.398365	273.597039
12.198110	1321.650330	1049.098847	272.551483
12.228463	1295.716997	1024.212942	271.504055
12.258816	1270.195908	999.741052	270.454856
12.289170	1245.087220	975.683231	269.403989
12.319523	1220.390750	952.039198	268.351552
12.349877	1196.105998	928.808355	267.297643
12.380230	1172.232155	905.989794	266.242360
12.410584	1148.768113	883.582315	265.185799
12.440937	1125.712486	861.584433	264.128053
12.471290	1103.063613	839.994398	263.069215
12.501644	1080.819579	818.810201	262.009379
12.531997	1058.978221	798.029589	260.948633
12.562351	1037.537145	777.650078	259.887067
12.592704	1016.493732	757.668962	258.824769
12.623058	995.845155	738.083328	257.761827
12.653411	975.588388	718.890063	256.698325
12.683764	955.720217	700.085869	255.634348
12.714118	936.237252	681.667273	254.569979
12.744471	917.135936	663.630637	253.505299
12.774825	898.412557	645.972166	252.440391
12.805178	880.063256	628.687924	251.375332
12.835531	862.084041	611.773839	250.310202
12.865885	844.470790	595.225713	249.245077
12.896238	827.219268	579.039234	248.180033
12.926592	810.325130	563.209983	247.115147
12.956945	793.783932	547.733443	246.050490
12.987299	777.591142	532.605006	244.986135
