# Z_nm	Fit_totale_conteggi	Gauss1_conteggi	Gauss2_conteggi
0.000000	7.119629	0.000247	7.119382
0.030451	7.213354	0.000274	7.213080
0.060903	7.308107	0.000304	7.307803
0.091354	7.403896	0.000336	7.403560
0.121806	7.500731	0.000373	7.500358
0.152257	7.598619	0.000413	7.598206
0.182708	7.697569	0.000457	7.697112
0.213160	7.797589	0.000506	7.797084
0.243611	7.898689	0.000559	7.898129
0.274062	8.000876	0.000619	8.000257
0.304514	8.104160	0.000684	8.103476
0.334965	8.208548	0.000756	8.207792
0.365417	8.314051	0.000835	8.313216
0.395868	8.420676	0.000922	8.419754
0.426319	8.528434	0.001019	8.527415
0.456771	8.637332	0.001124	8.636208
0.487222	8.747380	0.001241	8.746140
0.517673	8.858588	0.001368	8.857219
0.548125	8.970964	0.001509	8.969455
0.578576	9.084518	0.001663	9.082854
0.609028	9.199259	0.001833	9.197426
0.639479	9.315198	0.002019	9.313179
0.669930	9.432344	0.002224	9.430120
0.700382	9.550707	0.002448	9.548259
0.730833	9.670297	0.002694	9.667602
0.761284	9.791124	0.002964	9.788160
0.791736	9.913199	0.003260	9.909939
0.822187	10.036533	0.003585	10.032948
0.852639	10.161135	0.003940	10.157195
0.883090	10.287018	0.004329	10.282689
0.913541	10.414193	0.004755	10.409438
0.943993	10.542671	0.005222	10.537449
0.974444	10.672464	0.005732	10.666732
1.004895	10.803584	0.006290	10.797294
1.035347	10.936043	0.006900	10.929143
1.065798	11.069855	0.007567	11.062288
1.096250	11.205033	0.008296	11.196738
1.126701	11.341590	0.009091	11.332499
1.157152	11.479541	0.009960	11.469580
1.187604	11.618899	0.010909	11.607990
1.218055	11.759680	0.011944	11.747736
1.248506	11.901899	0.013072	11.888827
1.278958	12.045573	0.014303	12.031270
1.309409	12.190719	0.015645	12.175074
1.339861	12.337354	0.017107	12.320247
1.370312	12.485496	0.018699	12.466796
1.400763	12.635164	0.020433	12.614731
1.431215	12.786379	0.022321	12.764058
1.461666	12.939161	0.024375	12.914786
1.492117	13.093532	0.026610	13.066922
1.522569	13.249514	0.029040	13.220475
1.553020	13.407133	0.031681	13.375452
1.583472	13.566413	0.034552	13.531861
1.613923	13.727381	0.037670	13.689711
1.644374	13.890065	0.041057	13.849008
1.674826	14.054495	0.044734	14.009761
1.705277	14.220701	0.048724	14.171977
1.735728	14.388716	0.053053	14.335664
1.766180	14.558576	0.057747	14.500829
1.796631	14.730318	0.062837	14.667481
1.827083	14.903979	0.068353	14.835626
1.857534	15.079602	0.074329	15.005273
1.887985	15.257229	0.080801	15.176428
1.918437	15.436908	0.087809	15.349099
1.948888	15.618687	0.095393	15.523294
1.979339	15.802619	0.103599	15.699020
2.009791	15.988758	0.112474	15.876284
2.040242	16.177163	0.122070	16.055093
2.070694	16.367896	0.132442	16.235454
2.101145	16.561024	0.143648	16.417376
2.131596	16.756615	0.155752	16.600864
2.162048	16.954746	0.168821	16.785925
2.192499	17.155495	0.182927	16.972568
2.222950	17.358946	0.198148	17.160798
2.253402	17.565188	0.214565	17.350623
2.283853	17.774316	0.232268	17.542049
2.314305	17.986432	0.251349	17.735083
2.344756	18.201641	0.271910	17.929731
2.375207	18.420058	0.294057	18.126001
2.405659	18.641804	0.317905	18.323899
2.436110	18.867007	0.343575	18.523431
2.466561	19.095802	0.371198	18.724604
2.497013	19.328336	0.400912	18.927424
2.527464	19.564760	0.432864	19.131897
2.557916	19.805240	0.467211	19.338029
2.588367	20.049946	0.504119	19.545827
2.618818	20.299063	0.543767	19.755296
2.649270	20.552786	0.586343	19.966443
2.679721	20.811320	0.632047	20.179274
2.710172	21.074886	0.681093	20.393793
2.740624	21.343714	0.733706	20.610008
2.771075	21.618050	0.790128	20.827922
2.801527	21.898155	0.850612	21.047543
2.831978	22.184305	0.915430	21.268875
2.862429	22.476791	0.984867	21.491924
2.892881	22.775923	1.059227	21.716696
2.923332	23.082026	1.138832	21.943194
2.953783	23.395448	1.224023	22.171425
2.984235	23.716553	1.315160	22.401392
3.014686	24.045727	1.412624	22.633103
3.045138	24.383379	1.516819	22.866560
3.075589	24.729940	1.628172	23.101768
3.106040	25.085865	1.747132	23.338733
3.136492	25.451634	1.874175	23.577459
3.166943	25.827754	2.009804	23.817949
3.197394	26.214759	2.154550	24.060209
3.227846	26.613214	2.308971	24.304243
3.258297	27.023711	2.473657	24.550054
3.288749	27.446876	2.649229	24.797646
3.319200	27.883367	2.836343	25.047024
3.349651	28.333879	3.035688	25.298191
3.380103	28.799140	3.247989	25.551150
3.410554	29.279917	3.474011	25.805906
3.441006	29.777016	3.714556	26.062461
3.471457	30.291286	3.970468	26.320818
3.501908	30.823616	4.242634	26.580982
3.532360	31.374941	4.531987	26.842954
3.562811	31.946241	4.839503	27.106738
3.593262	32.538546	5.166210	27.372336
3.623714	33.152935	5.513184	27.639751
3.654165	33.790538	5.881552	27.908986
3.684617	34.452541	6.272499	28.180043
3.715068	35.140185	6.687261	28.452923
3.745519	35.854768	7.127138	28.727630
3.775971	36.597650	7.593485	29.004165
3.806422	37.370251	8.087722	29.282530
3.836873	38.174059	8.611333	29.562726
3.867325	39.010626	9.165870	29.844756
3.897776	39.881572	9.752953	30.128619
3.928228	40.788592	10.374273	30.414319
3.958679	41.733451	11.031596	30.701855
3.989130	42.717991	11.726762	30.991229
4.019582	43.744133	12.461691	31.282442
4.050033	44.813878	13.238385	31.575494
4.080484	45.929310	14.058925	31.870385
4.110936	47.092598	14.925482	32.167117
4.141387	48.306000	15.840311	32.465688
4.171839	49.571861	16.805761	32.766100
4.202290	50.892623	17.824270	33.068352
4.232741	52.270819	18.898375	33.372444
4.263193	53.709083	20.030707	33.678376
4.293644	55.210144	21.223998	33.986146
4.324095	56.776838	22.481084	34.295754
4.354547	58.412102	23.804903	34.607199
4.384998	60.118981	25.198500	34.920481
4.415450	61.900627	26.665030	35.235597
4.445901	63.760306	28.207759	35.552546
4.476352	65.701394	29.830066	35.871327
4.506804	67.727383	31.535444	36.191938
4.537255	69.841883	33.327506	36.514378
4.567706	72.048623	35.209980	36.838642
4.598158	74.351451	37.186720	37.164731
4.628609	76.754338	39.261697	37.492641
4.659061	79.261381	41.439012	37.822369
4.689512	81.876799	43.722886	38.153912
4.719963	84.604941	46.117672	38.487269
4.750415	87.450281	48.627847	38.822435
4.780866	90.417426	51.258019	39.159406
4.811317	93.511108	54.012927	39.498181
4.841769	96.736194	56.897440	39.838754
4.872220	100.097680	59.916558	40.181122
4.902672	103.600693	63.075413	40.525281
4.933123	107.250494	66.379268	40.871226
4.963574	111.052473	69.833520	41.218953
4.994026	115.012153	73.443696	41.568457
5.024477	119.135188	77.215454	41.919734
5.054928	123.427361	81.154583	42.272778
5.085380	127.894585	85.267001	42.627583
5.115831	132.542900	89.558754	42.984146
5.146283	137.378473	94.036014	43.342459
5.176734	142.407596	98.705078	43.702518
5.207185	147.636681	103.572365	44.064315
5.237637	153.072262	108.644416	44.427846
5.268088	158.720989	113.927887	44.793102
5.298539	164.589627	119.429548	45.160079
5.328991	170.685049	125.156281	45.528768
5.359442	177.014238	131.115076	45.899163
5.389894	183.584277	137.313021	46.271256
5.420345	190.402349	143.757308	46.645040
5.450796	197.475727	150.455219	47.020508
5.481248	204.811776	157.414125	47.397651
5.511699	212.417940	164.641478	47.776462
5.542150	220.301739	172.144808	48.156932
5.572602	228.470766	179.931713	48.539052
5.603053	236.932672	188.009857	48.922815
5.633505	245.695166	196.386956	49.308210
5.663956	254.766004	205.070775	49.695229
5.694407	264.152983	214.069120	50.083863
5.724859	273.863928	223.389826	50.474102
5.755310	283.906687	233.040751	50.865936
5.785761	294.289121	243.029766	51.259356
5.816213	305.019094	253.364743	51.654350
5.846664	316.104459	264.053549	52.050910
5.877116	327.553054	275.104031	52.449023
5.907567	339.372685	286.524006	52.848680
5.938018	351.571118	298.321250	53.249869
5.968470	364.156065	310.503486	53.652578
5.998921	377.135171	323.078373	54.056798
6.029372	390.516005	336.053490	54.462515
6.059824	404.306043	349.436324	54.869718
6.090275	418.512654	363.234258	55.278395
6.120727	433.143090	377.454556	55.688534
6.151178	448.204468	392.104347	56.100121
6.181629	463.703758	407.190613	56.513145
6.212081	479.647765	422.720173	56.927591
6.242532	496.043117	438.699668	57.343448
6.272983	512.896246	455.135545	57.760701
6.303435	530.213377	472.034039	58.179338
6.333886	548.000505	489.401162	58.599343
6.364338	566.263386	507.242683	59.020703
6.394789	585.007515	525.564111	59.443404
6.425240	604.238113	544.370682	59.867431
6.455692	623.960106	563.667337	60.292770
6.486143	644.178113	583.458708	60.719405
6.516594	664.896425	603.749104	61.147321
6.547046	686.118990	624.542486	61.576504
6.577497	707.849395	645.842458	62.006937
6.607949	730.090847	667.652242	62.438605
6.638400	752.846161	689.974670	62.871491
6.668851	776.117738	712.812158	63.305579
6.699303	799.907549	736.166695	63.740854
6.729754	824.217120	760.039823	64.177297
6.760206	849.047515	784.432622	64.614893
6.790657	874.399318	809.345693	65.053625
6.821108	900.272617	834.779143	65.493474
6.851560	926.666989	860.732566	65.934424
6.882011	953.581486	887.205030	66.376456
6.912462	981.014616	914.195064	66.819553
6.942914	1008.964333	941.700636	67.263697
6.973365	1037.428017	969.719149	67.708869
7.003817	1066.402467	998.247417	68.155050
7.034268	1095.883881	1027.281658	68.602222
