FIT CON SOMMA DI DUE GAUSSIANE

Parametri (ordine):
N, w, mu1, sigma1, mu2, sigma2

MATRICE DI COVARIANZA:
	N	w	mu1	sigma1	mu2	sigma2
N	6.4094503355e+04	-3.5398744816e-03	4.8902796841e-03	-5.2985671353e-03	-2.2946557528e-01	2.2305549922e-01
w	-3.5398744816e-03	5.6016301939e-06	2.2146837863e-06	6.9446496635e-06	1.4794810060e-04	4.3562955010e-05
mu1	4.8902796841e-03	2.2146837863e-06	6.2150157612e-05	8.6358804763e-06	1.9661613408e-05	9.7631186596e-05
sigma1	-5.2985671353e-03	6.9446496635e-06	8.6358804763e-06	4.9224777237e-05	2.4858369507e-04	6.6023852814e-05
mu2	-2.2946557528e-01	1.4794810060e-04	1.9661613408e-05	2.4858369507e-04	1.0412605497e-02	1.6652343580e-03
sigma2	2.2305549922e-01	4.3562955010e-05	9.7631186596e-05	6.6023852814e-05	1.6652343580e-03	4.3628436633e-03

MATRICE DI CORRELAZIONE:
	N	w	mu1	sigma1	mu2	sigma2
N	1.000000	-0.005908	0.002450	-0.002983	-0.008882	0.013339
w	-0.005908	1.000000	0.118695	0.418217	0.612594	0.278660
mu1	0.002450	0.118695	1.000000	0.156133	0.024441	0.187492
sigma1	-0.002983	0.418217	0.156133	1.000000	0.347217	0.142470
mu2	-0.008882	0.612594	0.024441	0.347217	1.000000	0.247065
sigma2	0.013339	0.278660	0.187492	0.142470	0.247065	1.000000
