wavelength_nm,auxiliary_value,transmittance,transmittance_error
200.0,0.0,0.206954,0.00706954
203.0,0.0,1.32988,0.0182988
206.0,0.0,0.346653,0.00846654
209.0,0.0,0.849887,0.0134989
212.0,0.0,1.66379,0.0216379
215.0,0.0,1.52969,0.0202969
218.0,0.0,1.61649,0.0211649
221.0,0.0,1.10787,0.0160787
224.0,0.0,1.83447,0.0233447
227.0,0.0,0.784986,0.0128499
230.0,0.0,0.217353,0.00717353
233.0,0.0,0.799589,0.0129959
236.0,0.0,0.188242,0.00688242
239.0,0.0,0.4521,0.009521
242.0,0.0,0.355536,0.00855536
245.0,0.0,1.43351,0.0193351
248.0,0.0,2.67682,0.0317682
251.0,0.0,0.730366,0.0123037
254.0,0.0,0.407603,0.00907603
257.0,0.0,3.16873,0.0366873
260.0,0.0,2.65006,0.0315006
263.0,0.0,0.360325,0.00860325
266.0,0.0,0.203098,0.00703098
269.0,0.0,0.0772056,0.00577206
272.0,0.0,0.0270064,0.00527006
275.0,0.0,0.0127096,0.0051271
278.0,0.0,0.00778273,0.00507783
281.0,0.0,0.000549547,0.0050055
284.0,0.0,0.000349853,0.0050035
287.0,0.0,0.00177491,0.00501775
290.0,0.0,0.00080771,0.00500808
293.0,0.0,0.000998142,0.00500998
296.0,0.0,0.00371443,0.00503714
299.0,0.0,0.00917282,0.00509173
302.0,0.0,0.0197452,0.00519745
305.0,0.0,0.0372485,0.00537249
308.0,0.0,0.0653931,0.00565393
311.0,0.0,0.104024,0.00604024
314.0,0.0,0.152027,0.00652027
317.0,0.0,0.207081,0.00707081
320.0,0.0,0.26645,0.0076645
323.0,0.0,0.326308,0.00826309
326.0,0.0,0.382348,0.00882348
329.0,0.0,0.432341,0.00932341
332.0,0.0,0.476398,0.00976398
335.0,0.0,0.518214,0.0101821
338.0,0.0,0.543408,0.0104341
341.0,0.0,0.575654,0.0107565
344.0,0.0,0.590959,0.0109096
347.0,0.0,0.610592,0.0111059
