# sample_label ITO_Ag_40s_T
# original_name ito_10nm_ag_40s_t.dat
# wavelength_unit nm
# wavelength_nm auxiliary_value transmittance transmittance_error
300 0 0.0128931 0.00512893
303 0 0.0250531 0.00525053
306 0 0.0463651 0.00546365
309 0 0.078241 0.00578241
312 0 0.118894 0.00618894
315 0 0.168042 0.00668042
318 0 0.222963 0.00722963
321 0 0.279602 0.00779602
324 0 0.336552 0.00836552
327 0 0.385873 0.00885873
330 0 0.431995 0.00931995
333 0 0.470569 0.00970569
336 0 0.503776 0.0100378
339 0 0.523995 0.01024
342 0 0.54978 0.0104978
345 0 0.575742 0.0107574
348 0 0.598306 0.0109831
351 0 0.616553 0.0111655
354 0 0.625601 0.011256
357 0 0.641135 0.0114114
360 0 0.663334 0.0116333
363 0 0.669534 0.0116953
366 0 0.672803 0.011728
369 0 0.680365 0.0118037
372 0 0.686906 0.0118691
375 0 0.691464 0.0119146
378 0 0.694244 0.0119424
381 0 0.700073 0.0120007
384 0 0.703085 0.0120309
387 0 0.705154 0.0120515
390 0 0.710674 0.0121067
393 0 0.71563 0.0121563
396 0 0.715367 0.0121537
399 0 0.717526 0.0121753
402 0 0.71579 0.0121579
405 0 0.716549 0.0121655
408 0 0.714868 0.0121487
411 0 0.712345 0.0121234
414 0 0.707118 0.0120712
417 0 0.699836 0.0119984
420 0 0.699558 0.0119956
423 0 0.694915 0.0119492
426 0 0.687362 0.0118736
429 0 0.680962 0.0118096
432 0 0.67962 0.0117962
435 0 0.665344 0.0116534
438 0 0.649278 0.0114928
441 0 0.654514 0.0115451
444 0 0.653421 0.0115342
447 0 0.644726 0.0114473
450 0 0.63378 0.0113378
453 0 0.627454 0.0112745
456 0 0.618125 0.0111813
459 0 0.61495 0.0111495
462 0 0.611492 0.0111149
465 0 0.607428 0.0110743
468 0 0.603939 0.0110394
471 0 0.59988 0.0109988
474 0 0.591965 0.0109197
477 0 0.588368 0.0108837
480 0 0.579627 0.0107963
483 0 0.574768 0.0107477
486 0 0.573075 0.0107308
489 0 0.570327 0.0107033
492 0 0.567962 0.0106796
495 0 0.567545 0.0106755
498 0 0.565361 0.0106536
501 0 0.562841 0.0106284
504 0 0.561048 0.0106105
507 0 0.560582 0.0106058
510 0 0.564451 0.0106445
513 0 0.560212 0.0106021
516 0 0.558149 0.0105815
519 0 0.55909 0.0105909
522 0 0.563922 0.0106392
525 0 0.565814 0.0106581
528 0 0.568092 0.0106809
531 0 0.567818 0.0106782
534 0 0.56794 0.0106794
537 0 0.570143 0.0107014
540 0 0.574462 0.0107446
543 0 0.574475 0.0107448
546 0 0.576483 0.0107648
549 0 0.570308 0.0107031
552 0 0.573318 0.0107332
555 0 0.576462 0.0107646
558 0 0.573303 0.010733
561 0 0.578814 0.0107881
564 0 0.580643 0.0108064
567 0 0.577688 0.0107769
570 0 0.57076 0.0107076
573 0 0.576499 0.010765
576 0 0.576782 0.0107678
579 0 0.584792 0.0108479
582 0 0.584229 0.0108423
585 0 0.582973 0.0108297
588 0 0.583683 0.0108368
591 0 0.584726 0.0108473
594 0 0.586803 0.010868
597 0 0.584963 0.0108496
600 0 0.590197 0.010902
603 0 0.585192 0.0108519
606 0 0.587083 0.0108708
609 0 0.577961 0.0107796
612 0 0.582841 0.0108284
615 0 0.583831 0.0108383
618 0 0.58187 0.0108187
621 0 0.593486 0.0109349
624 0 0.603713 0.0110371
627 0 0.591635 0.0109163
630 0 0.591252 0.0109125
633 0 0.592465 0.0109246
636 0 0.59569 0.0109569
639 0 0.583226 0.0108323
642 0 0.581376 0.0108138
645 0 0.581497 0.010815
648 0 0.589663 0.0108966
651 0 0.594401 0.010944
654 0 0.596817 0.0109682
657 0 0.599532 0.0109953
660 0 0.597181 0.0109718
663 0 0.600629 0.0110063
666 0 0.595418 0.0109542
669 0 0.591696 0.010917
672 0 0.597613 0.0109761
675 0 0.608707 0.0110871
678 0 0.614991 0.0111499
681 0 0.608232 0.0110823
684 0 0.608648 0.0110865
687 0 0.616554 0.0111655
690 0 0.621502 0.011215
693 0 0.611528 0.0111153
696 0 0.615928 0.0111593
699 0 0.616047 0.0111605
702 0 0.609833 0.0110983
705 0 0.611537 0.0111154
708 0 0.608506 0.0110851
711 0 0.616274 0.0111627
714 0 0.623114 0.0112311
717 0 0.609526 0.0110953
720 0 0.60003 0.0110003
723 0 0.60303 0.0110303
726 0 0.600759 0.0110076
729 0 0.601164 0.0110116
732 0 0.598 0.01098
735 0 0.600411 0.0110041
738 0 0.604671 0.0110467
741 0 0.607606 0.0110761
744 0 0.611444 0.0111144
747 0 0.600861 0.0110086
750 0 0.601864 0.0110186
753 0 0.605431 0.0110543
756 0 0.600156 0.0110016
759 0 0.603521 0.0110352
762 0 0.61358 0.0111358
765 0 0.616532 0.0111653
768 0 0.613608 0.0111361
771 0 0.610491 0.0111049
774 0 0.620693 0.0112069
777 0 0.607152 0.0110715
780 0 0.597862 0.0109786
783 0 0.61379 0.0111379
786 0 0.617787 0.0111779
789 0 0.602149 0.0110215
792 0 0.603245 0.0110324
795 0 0.59356 0.0109356
798 0 0.5957 0.010957
